player_name,player_key,school,school_key,position_raw,position,year,ras_score,source_url
Kelly Stouffer,kelly stouffer,Colorado State,colorado state,QB,QB,1987,6.15,https://ras.football/ras-information/?PlayerID=194
Loren Snyder,loren snyder,Northern Colorado,northern colorado,QB,QB,1987,2.31,https://ras.football/ras-information/?PlayerID=217
Mike Shula,mike shula,Alabama,alabama,QB,QB,1987,1.54,https://ras.football/ras-information/?PlayerID=249
Rich Gannon,rich gannon,Delaware,delaware,QB,QB,1987,9.23,https://ras.football/ras-information/?PlayerID=277
Shawn Halloran,shawn halloran,Boston College,boston college,QB,QB,1987,3.08,https://ras.football/ras-information/?PlayerID=314
Vinny Testaverde,vinny testaverde,Miami,miami,QB,QB,1987,10.0,https://ras.football/ras-information/?PlayerID=378
Alfred Jenkins,alfred jenkins,Arizona,arizona,RB,RB,1987,6.09,https://ras.football/ras-information/?PlayerID=6
Bob Perryman,bob perryman,Michigan,michigan,FB,RB,1987,6.0,https://ras.football/ras-information/?PlayerID=19
Bobby Morse,bobby morse,Michigan State,michigan state,RB,RB,1987,4.78,https://ras.football/ras-information/?PlayerID=22
Carl Woods,carl woods,Vanderbilt,vanderbilt,RB,RB,1987,2.61,https://ras.football/ras-information/?PlayerID=39
Darryl Oliver,darryl oliver,Miami,miami,RB,RB,1987,2.17,https://ras.football/ras-information/?PlayerID=80
Don Smith,don smith,Mississippi State,mississippi state,RB,RB,1987,6.96,https://ras.football/ras-information/?PlayerID=99
Edwin Simmons,edwin simmons,Texas,texas,RB,RB,1987,10.0,https://ras.football/ras-information/?PlayerID=107
George Swarn,george swarn,Miami,miami,RB,RB,1987,8.26,https://ras.football/ras-information/?PlayerID=124
Jamie Mueller,jamie mueller,Benedictine,benedictine,FB,RB,1987,10.0,https://ras.football/ras-information/?PlayerID=147
Joe Armentrout,joe armentrout,Wisconsin,wisconsin,FB,RB,1987,8.0,https://ras.football/ras-information/?PlayerID=167
John Holifield,john holifield,West Virginia,west virginia,RB,RB,1987,9.13,https://ras.football/ras-information/?PlayerID=180
Kenneth Flowers,kenneth flowers,Clemson,clemson,RB,RB,1987,9.57,https://ras.football/ras-information/?PlayerID=197
Kerry Porter,kerry porter,Washington State,washington state,RB,RB,1987,8.7,https://ras.football/ras-information/?PlayerID=199
Lakei Heimuli,lakei heimuli,BYU,byu,RB,RB,1987,1.74,https://ras.football/ras-information/?PlayerID=205
Larry Emory,larry emory,Wisconsin,wisconsin,RB,RB,1987,5.65,https://ras.football/ras-information/?PlayerID=210
Marcus Greenwood,marcus greenwood,UCLA,ucla,FB,RB,1987,5.0,https://ras.football/ras-information/?PlayerID=225
Maurice Williams,maurice williams,Virginia Tech,virginia tech,RB,RB,1987,1.3,https://ras.football/ras-information/?PlayerID=236
Merril Hoge,merril hoge,Idaho State,idaho state,FB,RB,1987,2.0,https://ras.football/ras-information/?PlayerID=237
Paul Palmer,paul palmer,Temple,temple,RB,RB,1987,6.52,https://ras.football/ras-information/?PlayerID=265
Rick Fenney,rick fenney,Washington,washington,FB,RB,1987,7.0,https://ras.football/ras-information/?PlayerID=279
Rod Bernstine,rod bernstine,Texas A&M,texas a&m,RB,RB,1987,7.39,https://ras.football/ras-information/?PlayerID=287
Roger Vick,roger vick,Texas A&M,texas a&m,FB,RB,1987,9.0,https://ras.football/ras-information/?PlayerID=291
Spencer Tillman,spencer tillman,Oklahoma,oklahoma,RB,RB,1987,5.22,https://ras.football/ras-information/?PlayerID=320
Steve Bartalo,steve bartalo,Colorado State,colorado state,RB,RB,1987,3.48,https://ras.football/ras-information/?PlayerID=327
