player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Djouvensky Schlenbaker,157345,HB,WASH STATE,11,0,341,81.5,0,0,24,39.3,42.4,100.0,0,0,0,28,66,74.3,0,0,11,45.8,48.0,100.0,0,0,12,25
Montrell Johnson Jr.,147141,HB,FLORIDA,9,0,163,52.7,0,2,26,19.4,19.2,96.2,2,2,0,28,146,37.0,0,0,7,15.9,14.3,100.0,0,0,7,49
Mareyohn Hrabowski,145923,TE,W MICHIGAN,10,0,347,55.5,0,3,28,29.8,28.9,94.6,0,3,0,28,97,,0,0,0,0.0,0.0,,0,0,0,14
Dan Dishman,123308,TE,UTSA,12,0,331,65.1,0,0,25,14.5,15.3,100.0,0,0,0,28,183,70.9,0,0,2,4.5,4.1,100.0,0,0,2,49
Nate Boerkircher,129676,TE,NEBRASKA,12,0,238,65.1,0,2,25,18.5,19.4,96.0,0,2,0,28,144,72.7,0,0,3,6.5,8.2,100.0,0,0,4,49
Terron Kellman,158048,HB,CHARLOTTE,8,0,136,39.9,0,3,26,45.6,45.9,94.2,0,3,0,28,61,16.3,0,3,10,52.6,52.6,85.0,3,0,10,19
London Montgomery,170288,HB,E CAROLINA,11,0,156,36.2,0,1,22,19.6,22.0,97.7,0,1,0,27,123,5.6,0,0,0,0.0,6.1,,0,0,2,33
Reese Steele,175741,G,LA MONROE,2,0,209,85.8,0,0,25,100.0,100.0,100.0,0,0,0,27,27,76.1,0,0,2,100.0,100.0,100.0,0,0,2,2
Matt McCabe,122874,G,NC STATE,6,0,248,68.4,0,1,26,74.3,75.0,98.1,0,1,0,27,36,72.8,0,0,6,100.0,100.0,100.0,0,0,6,6
Tyler Purdy,101842,HB,JAMES MAD,8,0,197,36.3,0,0,25,33.3,34.6,96.0,0,1,1,27,78,31.6,0,0,14,34.1,34.9,92.9,1,1,15,43
Desirrio Riles,175202,TE,E CAROLINA,13,0,156,51.3,0,2,24,19.0,19.9,91.7,0,3,1,27,136,72.5,0,0,1,4.3,8.3,100.0,0,0,2,24
Ashanti Cole,167085,G,LA TECH,3,0,208,44.5,1,0,25,100.0,100.0,98.0,0,1,0,27,27,75.8,0,0,2,100.0,100.0,100.0,0,0,3,3
Dre Washington,147143,HB,LA LAFAYET,11,0,207,44.3,0,2,25,22.1,22.5,96.0,1,2,0,27,120,80.1,0,0,5,27.8,30.0,100.0,0,0,6,20
Kamari Morales,99713,TE,BOSTON COL,13,1,121,41.7,0,3,25,10.9,11.2,94.0,2,3,0,27,242,59.9,0,1,5,5.8,5.4,90.0,1,0,5,92
Jaelyn Lay,99701,TE,UMASS,11,0,216,56.8,0,1,24,23.3,23.7,97.9,1,1,0,27,114,70.2,0,0,3,9.4,8.8,100.0,0,0,3,34
Marcus Major Jr.,99488,HB,MINNESOTA,12,0,225,82.0,0,0,26,21.3,21.3,100.0,0,0,0,27,127,78.4,0,0,16,26.2,26.2,100.0,0,0,17,65
Sevaughn Clark,99159,HB,TOLEDO,11,0,316,33.6,0,1,24,24.0,24.8,97.9,0,1,0,27,109,39.6,0,1,7,17.1,15.9,92.9,1,0,7,44
Dominick Mazotti,98717,TE,UMASS,10,0,216,66.2,0,1,26,11.3,11.1,98.1,0,1,0,27,244,67.3,0,0,1,1.2,1.1,100.0,0,0,1,90
Graceson Jackson-Smith,170502,T,SM HOUSTON,4,0,281,50.2,0,0,26,100.0,100.0,100.0,1,0,0,27,27,53.7,0,0,6,100.0,100.0,100.0,0,0,7,7
Oscar Cardenas,98291,TE,UTSA,8,0,331,54.7,0,2,26,14.3,14.2,96.2,1,2,0,27,190,70.1,0,0,2,3.4,4.8,100.0,0,0,3,63
Joe Otting,171095,C,NOTRE DAME,5,0,258,50.2,0,0,24,100.0,100.0,100.0,0,0,0,27,27,9.4,0,0,5,100.0,100.0,100.0,0,0,6,6
Cade McConnell,157498,T,VANDERBILT,6,0,333,0.0,1,2,24,100.0,100.0,93.7,0,3,0,27,27,0.0,0,2,15,100.0,100.0,93.3,2,0,17,17
Benjamin Yurosek,131786,TE,GEORGIA,14,0,173,61.0,0,0,24,13.6,14.5,100.0,1,0,0,27,186,69.4,0,0,1,2.8,5.1,100.0,0,0,2,39
Gee Scott Jr.,129756,TE,OHIO STATE,16,0,260,65.6,0,1,25,8.0,8.4,98.0,2,1,0,27,321,76.0,0,0,3,2.4,3.1,100.0,0,0,4,130
Bryson Donelson,191080,HB,FRESNO ST,12,0,169,24.8,1,2,25,17.6,17.8,94.0,2,3,0,27,152,17.4,0,2,8,17.4,19.2,87.5,2,0,10,52
Jordan Dingle,146743,TE,KENTUCKY,11,0,202,62.9,0,2,23,14.8,15.3,95.7,0,2,0,26,170,70.7,0,0,2,3.5,3.3,100.0,0,0,2,61
Herschel Turner,191372,HB,UTAH ST,11,0,329,42.3,1,1,21,14.3,16.5,90.5,0,3,1,26,158,17.1,0,1,5,13.2,17.1,70.0,2,1,7,41
Christian Martin,173491,T,COLO STATE,9,0,144,77.2,0,1,24,100.0,100.0,97.9,0,1,0,26,26,79.9,0,0,2,100.0,100.0,100.0,0,0,3,3
Thomas Scully,144343,T,NAVY,12,0,237,55.3,0,0,24,23.3,23.9,95.8,0,1,1,26,109,67.3,0,0,1,11.1,11.1,100.0,0,0,1,9
Dan Villari,129602,TE,SYRACUSE,12,0,304,46.1,0,1,25,17.7,17.7,98.0,0,1,0,26,147,22.3,0,0,2,5.7,5.3,100.0,0,0,2,38
Connor Drake,172275,G,DOMINION,1,0,263,8.9,1,3,25,100.0,100.0,92.0,1,4,0,26,26,0.0,1,3,10,100.0,100.0,80.0,4,0,10,10
Jake Utley,175653,T,UTEP,2,0,330,0.0,1,4,25,100.0,100.0,82.0,0,7,2,26,26,0.0,0,2,5,100.0,100.0,60.0,3,1,5,5
Preston Cushman,163653,T,OLE MISS,4,0,226,82.5,0,0,24,100.0,100.0,100.0,0,0,0,26,26,81.5,0,0,7,100.0,100.0,100.0,0,0,8,8
Arnold Barnes III,169972,HB,TULANE,14,0,319,12.3,1,2,22,31.0,34.2,88.6,2,4,1,26,76,77.8,0,0,4,30.8,35.7,100.0,0,0,5,14
Ming Tjon,145223,C,FIU,2,0,166,76.8,0,0,24,100.0,100.0,100.0,0,0,0,26,26,80.9,0,0,11,100.0,100.0,100.0,0,0,12,12
Taylor Tatum,188782,HB,OKLAHOMA,11,0,261,25.7,0,2,24,27.6,28.9,91.7,0,3,1,26,90,17.2,0,1,9,37.5,38.5,83.3,2,1,10,26
Nate Noel,122249,HB,MISSOURI,11,0,229,78.3,0,0,23,13.1,14.1,100.0,0,0,0,26,185,65.6,0,0,7,15.2,16.3,100.0,0,0,8,49
Judah Ezinwa,170510,TE,UTEP,5,0,330,69.5,0,2,24,43.6,45.6,95.8,0,2,0,26,57,77.0,0,1,13,68.4,70.0,96.2,1,0,14,20
Caden Prieskorn,121783,TE,OLE MISS,12,0,226,38.5,1,3,26,9.6,9.1,92.3,0,4,0,26,286,70.5,0,0,3,4.8,4.4,100.0,0,0,3,68
