player_name,school,position,season,qb_ppa_overall,qb_ppa_passing,qb_ppa_standard_downs,qb_ppa_passing_downs,qb_wepa_passing,qb_usage_rate
Preston Stone,Northwestern,QB,2025,0.16,0.163,0.066,0.306,,0.9788
Kaidon Salter,Colorado,QB,2025,0.317,0.294,0.222,0.44,,0.573
Mitch Griffis,Texas Tech,QB,2025,0.482,0.431,0.352,0.665,,0.0744
Mike Wright,East Carolina,QB,2025,-0.112,-0.059,-0.14,0.07,,0.0159
Timmy McClain,Bethune-Cookman,QB,2025,0.29,0.376,0.142,0.521,,0.3469
Peter Costelli,Northern Colorado,QB,2025,0.182,0.165,0.06,0.495,,0.1025
Jalen Kitna,UAB,QB,2025,0.211,0.23,0.079,0.406,,0.7694
Cam Ransom,Bethune-Cookman,QB,2025,0.328,0.328,0.225,0.497,,0.6531
Blake Shapen,Mississippi State,QB,2025,0.201,0.272,0.038,0.402,,0.7795
Dexter Williams II,Kennesaw State,QB,2025,0.125,0.111,-0.122,0.45,,0.2962
Casey Case,Stony Brook,QB,2025,-0.072,-0.096,0.237,-0.521,,0.0537
Sky Forest,Lane College,QB,2025,0.54,0.76,0.236,1.756,,0.2353
Grayson James,Boston College,QB,2025,0.307,0.329,0.219,0.452,,0.3326
Garrett Nussmeier,LSU,QB,2025,0.211,0.2,0.125,0.331,,0.6501
Sam Huard,USC,QB,2025,3.211,3.211,,3.211,,0.0024
Zach Gibson,Florida Atlantic,QB,2025,0.133,0.25,0.091,0.192,,0.0914
Cornelious Brown,Alabama A&M,QB,2025,0.461,0.485,0.486,0.424,,0.3222
Jacob Clark,Missouri State,QB,2025,0.262,0.247,0.22,0.314,,0.8684
Michael Johnson Jr.,Akron,QB,2025,-0.239,-0.187,-0.059,-0.568,,0.0572
Aveon Smith,Merrimack,QB,2025,0.054,0.115,-0.158,0.655,,0.0714
Camden Orth,Chattanooga,QB,2025,0.327,0.265,0.098,0.653,,0.7315
Luke Sprague,Sacramento State,QB,2025,-0.025,,-0.025,,,0.0
Daniel Greek,Tarleton State,QB,2025,0.674,0.726,0.548,0.996,,0.1835
Brady Lichtenberg,Cincinnati,QB,2025,0.155,0.134,0.278,-0.059,,0.0579
Ari Patu,North Alabama,QB,2025,0.145,0.081,0.024,0.308,,0.2561
Billy Edwards,Wisconsin,QB,2025,0.164,0.164,-0.182,1.2,,0.0588
Jalon Daniels,Kansas,QB,2025,0.354,0.376,0.344,0.373,,0.9273
Austin Smith,Austin Peay,QB,2025,0.5,0.405,0.791,0.006,,0.0586
Luke Altmyer,Illinois,QB,2025,0.388,0.387,0.267,0.571,,0.9812
Braylon Braxton,Southern Miss,QB,2025,0.203,0.209,0.02,0.444,,0.8811
Jaylen Henderson,West Virginia,QB,2025,-0.008,-0.604,-0.279,0.485,,0.055
Nate Hampton,Gardner-Webb,QB,2025,0.322,0.382,0.229,0.459,,0.4062
Logan Fife,New Mexico State,QB,2025,0.076,0.075,-0.03,0.21,,0.7648
Samari Collier,Coastal Carolina,QB,2025,0.239,0.193,0.266,0.207,,0.1955
Ryan Stubblefield,South Carolina State,QB,2025,0.228,0.186,-0.044,0.568,,0.3924
Parker Navarro,Ohio,QB,2025,0.29,0.236,0.215,0.418,,0.9743
Cade Fennegan,Abilene Christian,QB,2025,-0.007,0.545,-0.56,0.545,,0.0025
JaCobian Morgan,Jackson State,QB,2025,0.396,0.349,0.335,0.471,,0.5426
Ethan Hampton,Illinois,QB,2025,0.235,0.235,-0.65,2.892,,0.0108
Kyron Drones,Virginia Tech,QB,2025,0.189,0.131,0.099,0.319,,0.9875
Nick Vattiato,Middle Tennessee,QB,2025,0.111,0.124,0.012,0.269,,0.7212
D.C. Tabscott,North Alabama,QB,2025,-0.021,0.045,0.132,-0.174,,0.1159
Quayde Hawkins,Abilene Christian,QB,2025,0.479,1.329,0.121,1.017,,0.0075
Billy Wiles,App State,QB,2025,0.137,0.207,0.134,0.165,,0.0138
Eddie Lee Marburger,UT Rio Grande Valley,QB,2025,0.389,0.359,0.281,0.61,,1.0
Brendan Sullivan,Tulane,QB,2025,-0.03,0.314,-0.139,0.224,,0.0708
Joey Labas,Central Michigan,QB,2025,0.293,0.339,0.152,0.459,,0.8254
Sam Vidlak,Stephen F. Austin,QB,2025,0.262,0.271,0.168,0.4,,0.7843
Cameron Friel,UNLV,QB,2025,-0.156,-0.619,0.384,-1.237,,0.0047
Brady Olson,Central Connecticut,QB,2025,0.219,0.255,0.15,0.324,,0.9871
Xavier Ward,San José State,QB,2025,-0.489,-0.52,-0.656,-0.169,,0.0658
Hunter Herring,UL Monroe,QB,2025,0.07,0.604,0.061,0.089,,0.0331
Tahj Bullock,Colorado State,QB,2025,-0.159,-0.559,-0.062,-0.907,,0.0025
Justin Lamson,Montana State,QB,2025,0.438,0.514,0.343,0.609,,0.9493
Henry Belin IV,Duke,QB,2025,-0.006,-0.529,0.624,-0.276,,0.0099
Jacurri Brown,UCF,QB,2025,0.861,2.409,0.225,2.041,,0.0124
Braden Davis,Hampton,QB,2025,0.145,0.092,0.025,0.28,,0.5816
Jayden Denegal,San Diego State,QB,2025,0.073,0.086,0.063,0.089,,0.8414
A.J. Duffy,New Haven,QB,2025,0.28,0.252,0.208,0.426,,0.9882
JC French,Georgia Southern,QB,2025,0.224,0.201,0.096,0.452,,0.9091
Walker Howard,Louisiana,QB,2025,0.169,-0.015,-0.04,0.308,,0.1202
Josh Hoover,TCU,QB,2025,0.381,0.44,0.222,0.603,,0.8978
Sam Horn,Missouri,QB,2025,0.373,,0.373,,,0.0
Cade Klubnik,Clemson,QB,2025,0.211,0.234,0.252,0.134,,0.827
Justyn Martin,Maryland,QB,2025,-0.666,,-0.666,,,0.0
Kyle Lowe,SE Louisiana,QB,2025,0.364,0.299,0.174,0.935,,0.3314
Jayden Maiava,USC,QB,2025,0.477,0.495,0.4,0.621,,0.9595
Nicco Marchiol,West Virginia,QB,2025,0.173,0.18,0.181,0.163,,0.2997
MJ Morris,Coastal Carolina,QB,2025,0.238,0.226,0.122,0.392,,0.1504
Alex Orji,UNLV,QB,2025,0.07,0.12,0.07,,,0.0071
Maalik Murphy,Oregon State,QB,2025,0.187,0.177,0.199,0.171,,0.6404
Ty Simpson,Alabama,QB,2025,0.322,0.33,0.245,0.441,,0.9044
Jayden Sauray,Delaware State,QB,2025,0.146,0.227,0.097,0.184,,0.2325
Conner Weigman,Houston,QB,2025,0.284,0.327,0.235,0.373,,0.9443
Gunner Stockton,Georgia,QB,2025,0.314,0.298,0.286,0.363,,0.9257
Brady Allen,Louisville,QB,2025,0.059,0.449,0.019,0.105,,0.029
Devin Kargman,Kent State,QB,2025,-0.18,-0.18,-0.517,0.157,,0.0582
Steven Angeli,Syracuse,QB,2025,0.381,0.427,0.229,0.629,,0.3799
Beau Pribula,Missouri,QB,2025,0.263,0.263,0.214,0.346,,0.75
Zion Turner,Marshall,QB,2025,0.187,0.249,0.125,0.274,,0.1761
Destin Wade,North Alabama,QB,2025,0.024,-0.047,-0.049,0.155,,0.4879
Max Johnson,North Carolina,QB,2025,0.139,0.099,0.052,0.284,,0.2451
Andy Peters,St. Thomas (MN),QB,2025,0.343,0.336,0.256,0.465,,0.7241
Treyson Bourguet,BYU,QB,2025,0.507,-0.199,1.263,-1.004,,0.005
Sean Brown,Towson,QB,2025,1.205,1.205,,1.205,,0.0056
Noah Kim,Eastern Michigan,QB,2025,0.235,0.265,0.106,0.428,,0.9975
Stone Earle,Abilene Christian,QB,2025,0.197,0.196,0.156,0.261,,0.99
Maddox Kopp,Houston Christian,QB,2025,0.038,-0.022,-0.042,0.148,,0.3488
Carter Peevy,Maine,QB,2025,0.221,0.173,0.097,0.37,,0.9602
Chandler Morris,Virginia,QB,2025,0.325,0.302,0.12,0.596,,0.8862
Walker Eget,San José State,QB,2025,0.312,0.329,0.246,0.415,,0.8086
Nathan Kent,Towson,QB,2025,1.101,1.144,1.106,1.096,,0.0899
Otto Kuhns,Norfolk State,QB,2025,0.338,0.319,0.166,0.632,,0.741
Mark Gronowski,Iowa,QB,2025,0.289,0.218,0.262,0.345,,0.9161
Bryson Barnes,Utah State,QB,2025,0.241,0.209,0.168,0.359,,0.8834
Nick Billoups,Lane College,QB,2025,-0.175,-0.107,-0.599,0.334,,0.7647
Devin Brown,California,QB,2025,0.026,0.125,-0.627,0.679,,0.0139
Carson Camp,SE Louisiana,QB,2025,0.158,0.165,0.024,0.372,,0.657
Grant Wilson,Indiana,QB,2025,0.727,0.835,0.727,,,0.0025
Matthew Sluka,James Madison,QB,2025,0.299,0.01,0.019,1.039,,0.0286
Derek Robertson,Monmouth,QB,2025,0.467,0.474,0.446,0.514,,0.6295
Jacob Conover,Utah State,QB,2025,0.232,0.334,0.223,0.247,,0.0968
Walker Harris,North Carolina Central,QB,2025,0.34,0.383,0.225,0.475,,0.9973
DJ Williams,Southern Illinois,QB,2025,0.354,0.321,0.345,0.372,,0.9697
Gaston Moore,South Florida,QB,2025,0.075,0.091,-0.013,0.217,,0.1188
Bronson Barron,Southern Utah,QB,2025,0.31,0.334,0.121,0.6,,0.8826
Robby Ashford,Wake Forest,QB,2025,0.294,0.256,0.231,0.386,,0.7951
Victor Gabalis,Tarleton State,QB,2025,0.207,0.236,0.148,0.276,,0.8165
Grant Harper,UC Davis,QB,2025,-0.201,-0.182,-0.487,0.085,,0.1049
CJ Jordan,Portland State,QB,2025,-0.231,-0.225,-0.604,-0.014,,0.0504
Cam Fancher,UCF,QB,2025,0.065,-0.093,0.056,0.078,,0.1787
Henry Hesson,Miami (OH),QB,2025,-0.036,-0.032,-0.189,0.142,,0.267
Braedyn Locke,Arizona,QB,2025,-1.045,-1.155,-1.287,-0.772,,0.0336
Kai Horton,Washington,QB,2025,-0.01,-0.339,-0.003,-0.023,,0.0351
Jase Bauer,UT Martin,QB,2025,0.23,0.219,0.072,0.465,,0.9201
CJ Montes,Kent State,QB,2025,-0.13,-0.179,0.213,-0.499,,0.0651
Brett Griffis,Central Connecticut,QB,2025,-0.242,-0.481,0.019,-1.158,,0.0129
Drew Dickey,Vanderbilt,QB,2025,0.648,0.976,0.557,0.785,,0.005
Myles Burkett,Eastern Kentucky,QB,2025,0.147,0.112,0.033,0.279,,0.9107
Holden Geriner,Texas State,QB,2025,0.356,-0.592,,0.356,,0.0028
Drew Allar,Penn State,QB,2025,0.248,0.189,0.119,0.48,,0.469
Devin Farrell,Rhode Island,QB,2025,0.389,0.427,0.267,0.558,,0.9152
Nick Evers,UConn,QB,2025,0.253,0.367,-0.224,1.303,,0.0333
Thomas Castellanos,Florida State,QB,2025,0.317,0.297,0.188,0.494,,0.9115
Owen McCown,UTSA,QB,2025,0.262,0.268,0.196,0.367,,0.917
Tyler Riddell,Duquesne,QB,2025,0.3,0.261,0.19,0.451,,0.9302
Katin Houser,East Carolina,QB,2025,0.314,0.334,0.126,0.674,,0.9273
Rocco Becht,Iowa State,QB,2025,0.263,0.227,0.338,0.173,,0.9768
Tevin Carter,Prairie View A&M,QB,2025,0.22,0.128,-0.018,0.601,,0.2569
Julian Calvez,UT Martin,QB,2025,0.131,0.054,0.146,0.085,,0.0703
Conner Harrell,Charlotte,QB,2025,0.307,0.374,0.183,0.465,,0.2533
Conner Harrell,Charlotte,QB,2025,0.307,0.374,0.183,0.465,,0.2533
Tayven Jackson,UCF,QB,2025,0.225,0.201,0.209,0.249,,0.7816
Noah Fifita,Arizona,QB,2025,0.23,0.224,0.092,0.445,,0.9597
Brandon Rose,Massachusetts,QB,2025,-0.011,0.08,-0.257,0.267,,0.212
Zach Wilcke,Charlotte,QB,2025,-0.046,-0.105,-0.043,-0.051,,0.1346
Zach Wilcke,Charlotte,QB,2025,-0.046,-0.105,-0.043,-0.051,,0.1346
Gunnar Smith,Fordham,QB,2025,0.038,0.003,-0.055,0.191,,1.0
Blaine Hipa,Princeton,QB,2025,0.073,0.059,-0.239,0.442,,0.2327
Te'Sean Smoot,Alabama State,QB,2025,0.577,0.604,0.492,0.718,,0.336
AJ Bianco,Nevada,QB,2025,-0.079,-0.157,-0.119,-0.036,,0.1471
Jaxon Dailey,Northern Iowa,QB,2025,0.167,0.206,-0.057,0.547,,0.317
Tanner Murray,SE Louisiana,QB,2025,0.578,0.406,0.387,1.151,,0.0116
Joshua Wood,Idaho,QB,2025,0.321,0.237,0.274,0.385,,0.7602
Ethan Vasko,Liberty,QB,2025,0.187,0.224,0.129,0.275,,0.8471
Brayden Fowler-Nicolosi,Colorado State,QB,2025,0.281,0.257,0.161,0.389,,0.2087
Landy Lyddy,Southern Miss,QB,2025,0.348,0.351,0.326,0.391,,0.1145
Davin Wydner,West Georgia,QB,2025,0.269,0.19,0.064,0.539,,0.8018
Luca Stanzani,Long Island University,QB,2025,0.15,0.035,0.124,0.19,,0.5507
Fernando Mendoza,Indiana,QB,2025,0.468,0.459,0.295,0.832,,0.9381
Amari Jones,Bethune-Cookman,QB,2025,-0.323,,,-0.323,,0.0
Tyler Hughes,William & Mary,QB,2025,0.268,0.235,0.118,0.474,,0.9086
Ashton Daniels,Auburn,QB,2025,0.246,0.145,0.154,0.386,,0.3306
Jake Mcnamara,East Tennessee State,QB,2025,0.059,0.199,-0.125,0.428,,0.0995
Tyler Voss,San Diego,QB,2025,0.084,0.075,-0.163,0.317,,0.2714
Ridge Docekal,Bryant,QB,2025,0.041,0.034,0.07,-0.001,,0.2082
Bishop Davenport,South Alabama,QB,2025,0.177,0.155,0.042,0.379,,0.9484
Cole Pennington,Gardner-Webb,QB,2025,0.062,0.092,-0.076,0.258,,0.5909
Caden Veltkamp,Florida Atlantic,QB,2025,0.223,0.242,0.1,0.41,,0.8862
Maddux Madsen,Boise State,QB,2025,0.28,0.287,0.158,0.433,,0.6398
Zeon Chriss,Houston,QB,2025,0.079,-0.247,0.361,-0.333,,0.0557
Jackson Arnold,Auburn,QB,2025,0.198,0.106,0.198,0.197,,0.5972
Rickie Collins,Syracuse,QB,2025,0.052,0.013,-0.176,0.243,,0.4436
Marco Lainez,Elon,QB,2025,0.094,-0.034,0.272,-0.096,,0.0671
Tad Hudson,Coastal Carolina,QB,2025,0.107,0.062,-0.072,0.277,,0.6366
Nico Iamaleava,UCLA,QB,2025,0.227,0.09,0.11,0.429,,0.9022
Eli Holstein,Pittsburgh,QB,2025,0.369,0.381,0.3,0.48,,0.2694
Tyler Jefferson,Florida A&M,QB,2025,-0.374,-0.77,-0.885,-0.203,,0.0
Avery Johnson,Kansas State,QB,2025,0.209,0.211,0.063,0.409,,0.9971
Gabarri Johnson,Oregon State,QB,2025,-0.071,-0.133,-0.084,-0.053,,0.232
J.J. Kohl,App State,QB,2025,0.417,0.423,0.301,0.549,,0.4252
Chris Parson,Austin Peay,QB,2025,0.335,0.381,0.143,0.678,,0.9381
Dylan Lonergan,Boston College,QB,2025,0.198,0.233,0.11,0.332,,0.6256
Arch Manning,Texas,QB,2025,0.253,0.209,0.153,0.388,,0.9642
Jaden Rashada,Sacramento State,QB,2025,0.056,0.022,-0.41,0.65,,0.19
Dante Moore,Oregon,QB,2025,0.382,0.414,0.296,0.551,,0.945
Malachi Nelson,UTEP,QB,2025,0.034,0.025,-0.04,0.178,,0.4634
Marcel Reed,Texas A&M,QB,2025,0.312,0.339,0.258,0.409,,0.9263
Malachi Singleton,Purdue,QB,2025,0.011,-0.039,-0.089,0.273,,0.1584
D'Wayne' Winfield,Louisiana,QB,2025,0.212,0.236,0.115,0.355,,0.6334
Dylan Wittke,Minnesota,QB,2025,-0.194,-0.194,-0.194,,,0.0076
Cardell Williams,Sacramento State,QB,2025,0.276,0.186,0.177,0.421,,0.7919
Tommy Lock,Missouri,QB,2025,-0.402,-0.402,,-0.402,,0.0028
Max Brown,West Virginia,QB,2025,0.15,0.201,0.204,0.109,,0.0092
Lanorris Sellers,South Carolina,QB,2025,0.192,0.157,0.172,0.216,,0.8618
Lex Thomas,NC State,QB,2025,-0.273,-0.273,-0.187,-0.308,,0.017
Jake Jensen,Montana,QB,2025,0.04,-0.179,-0.35,0.625,,0.0263
Pat McQuaide,Villanova,QB,2025,0.292,0.29,0.106,0.517,,0.9569
Ralph Rucker,Bucknell,QB,2025,0.394,0.382,0.17,0.705,,0.506
Reese Poffenbarger,North Texas,QB,2025,0.048,0.099,0.459,-1.799,,0.0147
Zevi Eckhaus,Washington State,QB,2025,0.236,0.191,0.232,0.241,,0.7518
Kekoa Visperas,Tennessee Tech,QB,2025,0.29,0.23,0.244,0.359,,0.9716
Carter Cravens,Morehead State,QB,2025,0.284,0.311,0.155,0.489,,0.727
Jace Wilson,Tennessee Tech,QB,2025,0.923,1.102,1.586,0.344,,0.0258
Tysan Robbins,Arkansas-Pine Bluff,QB,2025,0.31,-0.313,0.933,-0.313,,0.003
Quincy Crittendon,Samford,QB,2025,0.081,0.131,-0.079,0.305,,0.515
Matthew Caldwell,Texas,QB,2025,1.103,1.159,0.309,1.897,,0.0263
Kyle Wickersham,Richmond,QB,2025,0.112,0.088,0.023,0.223,,0.6563
Jackson Proctor,Northern Illinois,QB,2025,-0.108,-0.5,-0.006,-0.278,,0.0246
Ameer Dudley,Robert Morris,QB,2025,-0.207,-0.306,-0.589,0.12,,0.0423
Tommy Rittenhouse,Illinois State,QB,2025,0.268,0.291,0.177,0.425,,0.9485
Jaylon Tolbert,Alcorn State,QB,2025,0.147,0.15,0.018,0.313,,0.9701
Aiden Dunne,Northern Iowa,QB,2025,-0.347,-0.347,-0.355,-0.326,,0.0317
Hunter Simmons,Wisconsin,QB,2025,0.017,-0.001,0.036,-0.014,,0.4338
Joe Pesansky,Florida International,QB,2025,0.06,0.079,-0.066,0.239,,0.3715
Simon Romfo,North Dakota,QB,2025,-0.112,0.177,-0.265,0.243,,0.027
Cole Payton,North Dakota State,QB,2025,0.587,0.569,0.453,0.838,,0.8333
Colton FitzGerald,West Georgia,QB,2025,-0.042,-0.041,-0.171,0.078,,0.1585
Byrum Brown,South Florida,QB,2025,0.409,0.442,0.373,0.486,,0.8441
Gavin Rupp,Stetson,QB,2025,-0.076,-0.079,-0.037,-0.124,,0.0939
Jake Weir,Houston Christian,QB,2025,-0.143,-0.12,-0.233,-0.041,,0.5785
Chris Irvin,Western Illinois,QB,2025,-0.067,-0.081,-0.083,-0.047,,0.2788
Cade Cunningham,Jacksonville State,QB,2025,-1.124,-1.124,-1.124,,,0.0061
Taron Dickens,Western Carolina,QB,2025,0.445,0.488,0.362,0.58,,0.7228
Jack Shields,UAlbany,QB,2025,0.071,0.039,-0.047,0.189,,0.7917
Grant Jordan,Massachusetts,QB,2025,0.004,-0.097,-0.07,0.115,,0.2651
Jalen Macon,Northern Illinois,QB,2025,-0.013,-0.383,-0.09,0.125,,0.0861
Christopher Zellous,Stony Brook,QB,2025,0.127,0.077,0.115,0.151,,0.4182
Andrew Body,Alabama State,QB,2025,0.54,0.472,0.356,0.879,,0.64
Gevani McCoy,Temple,QB,2025,0.26,0.359,0.309,0.182,,0.0948
Noah Bodden,Edward Waters,QB,2025,0.027,-0.04,0.335,-0.307,,1.0
Gavin Wimsatt,Jacksonville State,QB,2025,0.189,0.1,0.015,0.464,,0.3415
Brendan Sorsby,Cincinnati,QB,2025,0.446,0.404,0.405,0.519,,0.9229
Christopher Vizzina,Clemson,QB,2025,0.003,0.129,-0.249,0.341,,0.1498
Kaden Anderson,Wyoming,QB,2025,0.09,0.098,0.034,0.16,,0.8773
Stephen Kittleman,Tulsa,QB,2025,0.104,0.662,0.006,0.301,,0.0074
Luther Richesson,Central Arkansas,QB,2025,0.025,-0.038,0.093,-0.102,,0.2722
Trinidad Chambliss,Ole Miss,QB,2025,0.345,0.374,0.217,0.586,,0.8541
Alonza Barnett,James Madison,QB,2025,0.195,0.144,0.184,0.21,,0.961
Kyle Crum,San Diego State,QB,2025,-0.042,0.071,-0.237,0.237,,0.1
Tucker Kilcrease,Troy,QB,2025,0.134,0.185,0.075,0.211,,0.5151
Turner Helton,Georgia Southern,QB,2025,-0.161,-0.171,-0.32,0.109,,0.0606
Austin Novosad,Oregon,QB,2025,0.683,0.683,-1.074,2.441,,0.0046
Dijon Jennings,Weber State,QB,2025,0.05,0.12,-0.188,0.426,,0.434
Charlie Mirer,Stanford,QB,2025,0.467,-0.141,-0.624,0.831,,0.0077
Jake Strong,McNeese,QB,2025,0.176,0.153,0.108,0.272,,0.8502
Grayson Loftis,Charlotte,QB,2025,-0.045,-0.017,-0.184,0.115,,0.6121
Grayson Loftis,Charlotte,QB,2025,-0.045,-0.017,-0.184,0.115,,0.6121
John Mateer,Oklahoma,QB,2025,0.2,0.209,0.093,0.353,,0.9254
E.J. Warner,Fresno State,QB,2025,0.424,0.381,0.295,0.566,,0.7426
Bert Emanuel Jr.,San Diego State,QB,2025,-0.004,-0.095,0.108,-0.103,,0.0552
Ryan Staub,Colorado,QB,2025,0.231,0.201,-0.152,0.568,,0.1545
Cam'Ron McCoy,Southern,QB,2025,0.143,0.033,0.291,-0.03,,1.0
Nevan Cremascoli,South Dakota,QB,2025,-0.325,-0.096,-0.554,-0.096,,0.003
Kenny Minchey,Notre Dame,QB,2025,0.461,0.436,0.289,0.622,,0.081
William Watson III,Virginia Tech,QB,2025,0.13,0.953,-1.023,1.744,,0.0125
Brock Glenn,Florida State,QB,2025,0.488,0.253,0.402,0.859,,0.0295
Carson Conklin,Fresno State,QB,2025,0.002,0.035,-0.325,0.217,,0.2574
Ethan Crawford,Arkansas State,QB,2025,-0.153,,,-0.153,,0.0
Javance Tupou'ata-Johnson,North Dakota,QB,2025,0.614,-0.108,0.917,0.372,,0.027
Giovanni Lopez,North Carolina,QB,2025,0.229,0.23,0.067,0.49,,0.7352
Will Prichard,Morehead State,QB,2025,-0.971,-0.971,,-0.971,,0.0031
Israel Carter,Norfolk State,QB,2025,-0.167,-0.288,-0.196,-0.118,,0.0882
Zane Flores,Oklahoma State,QB,2025,0.02,0.013,-0.116,0.193,,0.7178
McCae Hillstead,BYU,QB,2025,0.259,0.663,0.126,0.571,,0.0125
Jacobe Robinson,Southern Miss,QB,2025,-0.115,,-0.115,,,0.0
Chase Jenkins,Rice,QB,2025,0.077,0.123,0.02,0.159,,0.7679
CJ Tiller,Utah State,QB,2025,1.699,,1.699,,,0.0
Jax Leatherwood,Southeast Missouri State,QB,2025,0.209,0.187,-0.035,0.532,,0.5894
Anthony Colandrea,UNLV,QB,2025,0.353,0.304,0.239,0.528,,0.9858
Jackson Brousseau,Colorado State,QB,2025,0.186,0.157,0.144,0.247,,0.5115
Ryder Burton,UAB,QB,2025,0.238,0.239,0.207,0.286,,0.2237
Broc Lowry,Western Michigan,QB,2025,0.2,0.158,0.228,0.152,,0.8618
Keldric Luster,Texas State,QB,2025,0.323,0.295,-0.707,0.839,,0.0084
John-Keawe Sagapolutele,Portland State,QB,2025,0.055,0.105,-0.074,0.23,,0.9388
Cal Swanson,Holy Cross,QB,2025,0.049,0.004,0.004,0.11,,0.5015
Emory Williams,Miami,QB,2025,0.137,0.048,-0.194,0.542,,0.0383
Aidan Chiles,Michigan State,QB,2025,0.431,0.343,0.373,0.515,,0.537
Tyler Douglas,Temple,QB,2025,0.971,,1.551,-0.189,,0.0
Evan Bullock,Louisiana Tech,QB,2025,-0.139,-0.061,-0.21,-0.015,,0.1479
Charlie Gilliam,Samford,QB,2025,-0.155,0.178,-0.28,0.274,,0.0822
Luke Duncan,UCLA,QB,2025,0.272,0.272,-0.007,0.762,,0.095
Jaxon Smolik,Penn State,QB,2025,-0.454,,-0.454,,,0.0
Tucker McDonald,UConn,QB,2025,0.4,0.4,0.4,,,0.0067
Lincoln Kienholz,Ohio State,QB,2025,0.587,0.659,0.37,2.039,,0.0343
Sam Leavitt,Arizona State,QB,2025,0.3,0.21,0.353,0.224,,0.5571
CJ Bailey,NC State,QB,2025,0.352,0.356,0.247,0.478,,0.9659
Elijah Brown,Stanford,QB,2025,0.182,0.185,0.12,0.246,,0.3248
Jayden Bradford,Liberty,QB,2025,0.747,1.875,0.747,,,0.0032
Jadyn Davis,Michigan,QB,2025,-0.092,-0.092,-0.559,0.374,,0.0059
C.J. Carr,Notre Dame,QB,2025,0.357,0.345,0.262,0.506,,0.9128
Hauss Hejny,Oklahoma State,QB,2025,0.786,0.776,0.55,1.022,,0.0274
Josh Flowers,Arkansas State,QB,2025,-0.291,0.043,-0.552,0.127,,0.0119
Michael Hawkins Jr.,Oklahoma,QB,2025,0.279,0.225,0.415,0.136,,0.0629
Austin Mack,Alabama,QB,2025,0.374,0.399,0.275,0.628,,0.0612
KJ Jackson,Arkansas,QB,2025,0.489,0.428,0.361,0.663,,0.1417
