player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Donta Stuart,152349,S,TARLETON,14,0,401,0,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0.7,3,424,0,0.0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Gio Antonini,152354,ED,W OREGON,2,0,411,0,0,0,0,0,0,40.0,12,0,0.0,0,0,0,0,96.8,30,31,0,0.0,0,0,0,0,60.0,18,0,0.0,0,0,0,0,0,0
Mason Brown,152358,LB,W OREGON,2,0,411,0,0,0,0,0,0,100.0,7,0,0.0,0,0,0,0,40.0,10,25,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kenny Brown,152359,DI,W OREGON,2,0,411,0,0,0,0,0,0,28.6,6,0,0.0,0,0,0,0,100.0,24,24,0,0.0,0,0,0,0,71.4,15,0,0.0,0,0,0,0,0,0
Aden Murphy,152392,LB,W OREGON,2,0,411,0,0,0,0,0,0,33.3,4,0,0.0,0,0,0,0,19.4,13,67,0,0.0,0,0,0,0,66.7,8,0,0.0,0,0,0,0,0,0
Xavier Owens,152397,S,W OREGON,2,0,411,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,2.1,1,48,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Curtis Leggett,152523,DI,AVEMAR,2,0,1450,0,0,0,0,0,0,73.9,17,0,0.0,0,0,0,0,100.0,41,41,0,0.0,0,0,0,0,26.1,6,0,0.0,0,0,0,0,0,0
John Suran,152559,LB,AVEMAR,2,0,1450,0,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,6.5,4,62,0,0.0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Patrick Ferns,152562,LB,AVEMAR,2,0,1450,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,10.0,1,10,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Dray'sun Bonney,152577,ED,AVEMAR,1,0,1450,0,0,0,0,0,0,40.0,6,0,0.0,0,0,0,0,100.0,15,15,0,0.0,0,0,0,0,60.0,9,0,0.0,0,0,0,0,0,0
Tyshun Gaiter,152634,LB,LANECOL,1,0,942,0,0,0,0,0,0,80.0,4,0,0.0,0,0,0,0,21.7,5,23,0,0.0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,0,0
Armon White,152642,DI,LANECOL,1,0,942,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
JaQuintis Summers,152643,ED,LANECOL,1,0,942,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Dajuan Rawls,152666,ED,POINTVILLE,1,0,393,0,0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,100.0,2,2,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
