player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Alphie Guillory,121891,S,N TEXAS,1,0,25.5,100.0,100.0,9.0,9.0,0,0,0,0.0,251,36.1,37.6,74.7,,51.7,27.1,0,24,100.0,1,0,0,158.3,2,20,20,0,0,2,1,47,0,2.6,23.5
Upton Stout,121906,S,W KENTUCKY,12,1,6.5,70.6,86.3,18.5,13.1,1,1,1,5.9,346,78.3,84.4,24.0,77.4,90.9,79.5,1,84,15.0,3,1,4,96.0,12,234,271,9,16,17,1,163,119,0.7,13.6
Bryan Massey,121936,S,HOUSTON,3,0,8.7,42.9,97.2,11.0,4.7,0,0,0,0.0,182,47.9,39.9,78.7,58.9,31.4,26.5,0,21,33.3,1,0,0,60.4,3,35,36,1,2,7,0,38,17,1.2,12.7
Zion Childress,121963,S,KENTUCKY,12,3,5.7,77.4,89.5,10.9,8.4,0,0,2,6.5,202,65.9,60.6,56.1,80.8,43.7,39.3,0,27,15.6,5,2,1,118.6,24,274,306,14,24,31,2,227,115,0.9,9.5
Issiah Nixon,121981,ED,SM HOUSTON,12,1,7.7,100.0,12.5,9.0,9.0,0,0,0,0.0,281,38.5,66.3,66.8,76.4,61.7,55.5,0,12,40.0,2,0,1,112.5,3,27,216,3,2,3,0,33,10,1.2,11.0
Sione Tonga'uiha,122044,DI,UTEP,12,0,,,0.9,,,0,0,0,,330,56.1,65.5,86.2,63.6,64.4,81.5,0,,0.0,0,0,0,0.0,0,2,224,3,1,0,0,0,0,0.0,
Tyler Batty,122052,ED,BYU,13,2,-0.8,66.7,6.9,6.3,4.2,0,0,0,0.0,128,71.2,78.5,74.1,75.0,74.4,62.0,2,12,36.8,7,0,1,36.1,4,25,362,9,10,6,0,26,26,1.0,6.5
Micah Harper,122060,S,BYU,7,0,7.0,66.7,96.9,15.5,10.3,0,0,0,0.0,128,54.5,54.1,78.8,59.0,53.8,62.2,0,34,14.3,1,0,0,103.5,4,63,65,0,6,6,0,66,26,1.1,16.5
Fred Davis II,122146,CB,JVILLE ST,14,1,12.9,59.3,99.6,14.3,8.5,1,0,5,18.5,196,77.8,76.9,0.0,58.3,77.1,78.6,0,25,0.0,0,2,2,85.7,16,245,246,5,8,27,1,142,29,0.6,8.9
Malcolm Greene,122148,CB,VIRGINIA,4,0,7.0,75.0,95.7,6.8,5.1,0,0,0,0.0,335,62.7,65.3,79.7,62.6,68.5,62.3,0,20,33.3,1,0,0,137.5,6,44,46,1,2,8,1,64,22,1.6,10.7
R.J. Mickens,122153,S,CLEMSON,13,5,6.5,72.4,97.3,19.7,14.2,0,1,7,24.1,140,89.8,87.5,87.0,57.7,69.2,72.9,2,26,11.8,4,5,0,59.6,21,439,451,9,25,29,1,100,48,0.2,4.8
Kevin Swint,122158,ED,GA STATE,12,0,7.7,50.0,17.6,16.3,8.2,0,1,2,33.3,175,69.1,64.6,59.9,64.8,61.2,53.1,0,10,33.3,3,2,2,57.6,3,51,289,7,6,6,0,20,22,0.4,6.7
Tyler Venables,122163,S,CLEMSON,9,1,8.0,83.3,94.3,17.2,14.3,0,0,1,16.7,140,63.4,60.1,0.0,53.9,60.2,61.4,0,40,0.0,0,1,1,158.3,5,100,106,2,7,6,1,79,35,0.9,15.8
Dez Morgan,122191,DI,CHARLOTTE,9,0,,,5.0,,,0,0,0,,136,47.0,34.0,54.9,52.8,32.6,26.3,0,,100.0,2,0,1,0.0,0,7,140,0,0,0,0,0,0,0.0,
Marcus Clarke,122208,CB,MISSOURI,4,0,14.0,16.7,94.7,17.0,2.8,0,0,0,0.0,229,44.9,49.6,75.7,79.9,52.8,51.6,0,7,0.0,0,0,0,39.6,1,18,19,1,3,6,0,7,3,0.4,7.0
Corey Flagg,122212,LB,MISSOURI,13,5,1.9,75.0,92.3,20.7,15.5,0,0,0,0.0,229,60.2,71.4,39.5,57.0,78.6,79.9,1,15,16.7,4,0,1,95.1,9,191,207,5,15,12,2,74,62,0.4,8.2
Jalen Harrell,122213,S,UMASS,9,0,6.6,64.3,94.3,12.1,7.8,0,1,3,21.4,216,64.5,52.7,83.4,66.0,33.7,44.8,1,10,60.0,3,2,0,38.4,9,115,122,2,2,14,0,40,42,0.4,4.4
Elijah Roberts,122222,ED,SMU,13,1,,,1.3,,,1,0,0,,287,80.2,91.3,57.3,90.8,81.3,49.4,0,,71.4,5,0,3,0.0,0,5,377,7,1,0,0,0,0,0.0,
Chantz Williams,122230,ED,CHARLOTTE,11,0,,,3.6,,,0,0,0,,136,77.9,75.8,57.5,76.7,66.6,72.3,0,,25.0,1,0,1,0.0,0,5,138,7,3,0,0,0,0,0.0,
Ronald Clarke,122235,S,APP STATE,8,2,12.1,80.0,99.3,10.7,8.5,0,0,0,0.0,108,48.2,52.6,82.7,67.2,59.4,64.9,0,33,18.2,2,0,0,146.5,12,135,136,2,7,15,4,145,61,1.1,12.1
Jalen McLeod,122248,ED,AUBURN,12,1,3.8,90.9,37.4,11.2,10.2,1,0,1,9.1,115,65.6,89.1,52.2,90.7,85.7,57.9,0,14,40.0,8,1,2,91.7,10,123,329,14,11,11,0,66,48,0.6,6.6
Jamar Rucks,122252,ED,KENNESAW,12,1,2.2,60.0,27.2,14.3,8.6,0,0,0,0.0,200,46.4,50.4,28.8,59.3,51.6,82.1,0,7,20.0,1,0,2,64.6,3,43,158,3,3,5,0,14,14,0.3,4.7
Mike Harris,122269,S,S ALABAMA,8,1,20.0,100.0,100.0,46.0,46.0,0,0,0,0.0,288,54.9,52.5,0.0,,57.7,83.2,0,16,0.0,0,0,2,118.8,1,50,50,0,2,1,0,16,-4,0.3,16.0
Lorando Johnson,122271,CB,BAYLOR,12,1,14.0,50.0,98.6,15.9,8.0,0,1,12,37.5,118,78.0,74.0,84.3,42.7,57.0,28.9,1,39,37.5,6,10,3,73.6,16,277,281,3,9,32,1,249,96,1.0,15.6
A.J. McCarty,122274,CB,TEXAS TECH,13,1,3.6,66.7,94.4,11.4,7.6,0,0,1,2.2,315,59.4,59.2,89.6,65.5,53.8,29.1,2,27,37.0,10,1,1,59.8,30,353,374,7,16,45,0,223,196,0.7,7.4
Brooks Miller,122276,LB,BAYLOR,7,0,8.3,100.0,80.6,5.8,5.8,0,0,0,0.0,118,38.1,46.8,75.6,59.4,58.1,67.9,0,18,0.0,0,0,0,158.3,4,25,31,1,2,4,1,50,17,2.2,12.5
Devin Neal,122278,S,LOUISVILLE,4,0,31.5,100.0,100.0,27.0,27.0,0,0,0,0.0,210,59.6,63.3,80.2,,71.9,65.6,0,51,25.0,1,0,0,158.3,2,59,59,1,3,2,1,62,3,1.1,31.0
Chateau Reed,122280,CB,BAYLOR,8,1,12.3,77.8,100.0,7.0,5.4,0,0,1,11.1,118,52.2,50.6,0.0,,56.2,26.8,0,43,42.9,3,1,2,158.3,7,52,52,1,3,9,2,121,71,2.5,17.3
Shane Bruce,122323,LB,COAST CAR,11,5,3.3,85.0,80.8,12.2,10.4,0,0,1,5.0,141,57.9,63.3,45.4,61.2,67.4,75.9,1,83,21.4,6,1,1,131.3,17,219,271,8,17,20,2,267,207,1.3,15.7
Austin Randall,122352,CB,CLEMSON,4,0,13.5,50.0,100.0,8.0,4.0,0,0,0,0.0,140,64.2,63.1,74.5,,58.5,77.0,0,22,0.0,0,0,0,129.2,1,10,10,1,1,2,1,22,0,2.8,22.0
Braylon Ryan,122354,ED,COAST CAR,12,2,12.7,33.3,22.4,27.0,9.0,0,0,0,0.0,141,57.4,55.5,56.3,60.0,53.7,41.7,0,21,50.0,5,0,1,59.0,1,28,125,2,3,3,0,21,14,0.8,21.0
Michael Larbie,122376,DI,RICE,12,2,1.0,100.0,2.3,5.0,5.0,0,0,0,0.0,275,55.5,62.5,84.5,66.5,58.7,44.1,0,18,33.3,1,0,0,118.8,1,5,222,3,0,1,0,18,17,3.6,18.0
Dorian Mausi,122378,LB,AUBURN,12,5,3.0,77.8,83.6,16.4,12.7,0,0,2,11.1,115,64.1,70.2,83.3,57.6,73.4,58.3,0,21,33.3,9,2,0,95.1,14,245,293,9,13,18,0,123,79,0.5,8.8
Aeneas Peebles,122379,DI,VA TECH,12,0,,,1.4,,,0,0,0,,337,60.2,89.2,30.3,91.2,78.5,55.3,0,,40.0,2,0,3,0.0,0,4,292,6,3,0,0,0,0,0.0,
Michael Reese,122383,ED,DUKE,13,3,5.0,50.0,8.5,20.0,10.0,0,0,0,0.0,154,58.3,63.6,68.7,58.7,67.3,47.8,0,5,30.0,3,0,1,56.3,1,20,234,7,4,2,0,5,7,0.3,5.0
Ryan Smith,122387,ED,DUKE,13,0,0.0,100.0,8.7,9.5,9.5,0,0,0,0.0,154,71.1,68.4,87.9,70.2,59.0,84.2,0,4,0.0,0,0,0,79.2,2,19,218,7,4,2,0,6,6,0.3,3.0
Jaylen Stinson,122389,S,DUKE,13,4,11.9,56.8,93.3,18.4,10.5,0,1,6,16.2,154,76.3,66.4,50.9,60.6,43.7,70.1,0,38,4.3,2,5,1,98.1,21,404,433,9,40,37,2,273,92,0.7,13.0
Stephen Dix Jr.,122396,LB,ARKANSAS,13,4,2.2,70.6,82.2,17.8,12.6,0,0,0,0.0,111,64.4,65.6,51.2,55.2,68.5,81.8,0,13,23.5,4,0,1,80.3,12,236,287,5,9,17,0,79,62,0.4,6.6
Jadarius Green-McKnight,122399,CB,MARSHALL,13,5,9.7,59.0,93.7,11.5,6.8,1,0,2,5.1,214,69.4,67.4,47.3,73.6,59.0,63.6,1,35,9.1,2,2,2,68.2,23,281,300,7,15,39,0,259,144,1.0,11.3
DJ Lundy,122405,LB,FLORIDA ST,5,0,0.2,81.8,92.0,8.7,7.1,0,0,0,0.0,167,52.2,54.3,80.7,75.3,53.6,61.1,0,16,25.0,2,0,0,96.2,9,80,87,3,6,11,0,78,83,1.0,8.7
Sidney Williams,122424,LB,MISSOURI,13,2,8.0,90.0,86.5,14.4,13.0,0,1,1,10.0,229,64.9,69.4,82.1,53.0,80.0,78.0,0,25,9.1,1,1,0,103.7,9,135,156,3,8,10,0,89,40,0.7,9.9
Tyler Bride,122432,CB,JVILLE ST,3,0,21.5,100.0,100.0,4.0,4.0,0,0,0,0.0,196,40.0,41.4,74.7,,55.0,74.3,0,37,0.0,0,0,0,158.3,2,8,8,0,1,2,2,73,30,9.1,36.5
Seth Robertson,122459,CB,APP STATE,11,3,10.5,69.2,100.0,10.5,7.3,0,0,0,0.0,108,58.8,61.6,85.3,,70.7,48.7,1,38,20.0,3,0,1,88.5,18,201,201,3,9,26,1,199,98,1.1,11.1
Marques Watson-Trent,122461,LB,GA SOUTHRN,12,15,3.2,87.9,84.6,12.6,11.1,0,0,1,3.0,174,72.7,80.9,86.6,53.2,90.1,73.1,0,31,19.5,8,1,0,112.0,29,389,460,11,18,33,1,279,192,0.8,9.6
LaMiles Brooks,122470,S,GA TECH,12,2,12.8,68.8,88.2,16.0,11.0,0,0,2,12.5,176,41.5,47.8,83.1,49.6,61.3,52.0,0,31,20.0,2,2,2,127.9,11,194,220,1,6,16,3,111,41,0.6,10.1
Jared Ivey,122480,ED,OLE MISS,12,2,,,0.9,,,0,0,0,,226,57.7,90.6,70.3,90.8,82.7,82.9,0,,28.6,2,0,1,0.0,0,3,340,8,3,0,0,0,0,0.0,
Emmanuel Johnson,122481,ED,COAST CAR,7,2,,,1.6,,,0,0,0,,141,62.8,66.6,49.8,55.1,73.6,77.8,0,,0.0,0,0,1,0.0,0,2,123,2,3,0,0,0,0,0.0,
Kyle Kennard,122483,ED,S CAROLINA,12,0,,,1.3,,,0,0,0,,289,63.4,77.0,16.9,80.7,72.3,64.2,0,,66.7,2,0,5,0.0,0,4,314,9,1,0,0,0,0,0.0,
Michal Antoine Jr.,122505,CB,FAU,10,2,18.6,31.3,98.2,20.8,6.5,0,0,2,12.5,165,54.5,58.3,80.6,58.2,70.2,88.3,0,28,0.0,0,1,2,50.0,5,112,114,1,9,16,0,84,9,0.8,16.8
Craig McDonald,122525,S,MINNESOTA,1,0,,,71.4,,,0,0,0,,225,62.2,62.8,71.6,59.0,61.6,,0,,,0,0,0,0.0,0,5,7,0,0,0,0,0,0,0.0,
Clinton Anokwuru,122545,ED,COAST CAR,12,1,,,1.7,,,0,0,0,,141,60.5,39.4,23.6,57.3,32.7,80.9,0,,0.0,0,0,2,0.0,0,2,116,0,0,0,0,0,0,0.0,
Taiwan Berryhill Jr.,122547,LB,KANSAS,12,4,5.4,75.0,87.3,12.3,9.3,0,0,1,5.0,198,38.8,42.4,35.7,54.2,50.9,47.4,0,51,16.7,2,0,1,151.3,15,193,221,3,6,20,6,226,168,1.2,15.1
Mello Dotson,122556,CB,KANSAS,12,2,11.7,56.7,99.5,10.8,6.1,0,1,7,10.4,198,78.3,77.1,86.3,64.6,66.0,51.7,5,59,15.4,6,5,1,69.1,38,427,429,10,31,67,4,498,172,1.2,13.1
Kyler Pearson,122572,WR,OKLA STATE,1,0,,,100.0,,,0,0,0,,262,60.0,62.4,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jereme Robinson,122576,ED,KANSAS,12,0,3.5,50.0,6.6,17.0,8.5,0,0,0,0.0,198,73.4,65.8,68.4,60.7,65.9,59.0,0,14,25.0,2,0,1,72.9,1,17,256,8,6,2,0,14,0,0.8,14.0
Tee Denson,122591,S,JVILLE ST,9,0,6.0,71.4,98.4,11.6,8.3,0,0,0,0.0,196,56.7,53.5,79.2,60.0,50.4,59.0,0,27,0.0,0,0,1,102.1,5,61,62,2,3,7,0,68,42,1.2,13.6
Nate Matlack,122605,ED,PITTSBURGH,13,2,,,1.4,,,0,0,0,,268,52.1,68.5,23.3,79.3,62.1,42.7,0,,50.0,2,0,5,0.0,0,5,365,4,0,0,0,0,0,0.0,
Beau Palmer,122610,LB,KANSAS ST,6,1,15.5,50.0,70.6,35.0,17.5,0,0,0,0.0,199,51.4,58.4,78.6,48.5,74.2,68.7,0,8,33.3,1,0,0,60.4,1,36,51,1,1,2,0,8,2,0.2,8.0
TJ Smith,122618,S,GA SOUTHRN,6,4,16.2,66.7,94.2,16.4,10.9,0,0,0,0.0,174,55.5,58.5,85.7,57.6,63.8,81.3,1,65,5.9,1,0,0,102.8,12,213,226,1,12,18,1,215,57,1.1,17.9
Trey Amos,122628,CB,OLE MISS,13,2,11.5,51.6,99.4,14.9,7.7,0,0,13,21.0,226,85.6,85.6,86.2,52.2,81.0,76.4,3,24,6.1,2,10,3,54.5,32,515,518,11,29,62,2,280,92,0.6,8.8
Caleb Anderson,122629,CB,LA LAFAYET,9,2,15.7,66.7,99.0,7.8,5.2,0,0,2,11.1,207,48.3,53.5,80.2,65.7,68.4,41.1,0,30,26.7,4,0,0,104.2,12,97,98,1,9,18,0,201,74,2.1,16.8
Courtline Flowers,122635,CB,LA LAFAYET,2,0,-3.0,100.0,88.2,5.0,5.0,0,0,0,0.0,207,65.1,62.1,78.4,56.9,54.8,26.3,0,4,50.0,1,0,0,79.2,3,15,17,1,1,3,0,3,12,0.2,1.0
Caleb Kibodi,122645,LB,LA LAFAYET,11,1,8.5,66.7,82.6,13.5,9.0,1,0,0,0.0,207,58.7,67.3,0.0,76.5,71.6,69.9,1,18,0.0,0,0,1,50.7,4,57,69,1,4,6,0,47,14,0.9,11.8
Jordan Lawson,122647,ED,LA LAFAYET,14,1,3.5,75.0,5.3,5.7,4.3,0,0,0,0.0,207,60.7,68.0,87.8,64.2,67.8,51.7,1,15,42.9,6,0,0,53.1,3,17,320,9,7,4,0,27,20,1.6,9.0
Mason Narcisse,122653,DI,LA LAFAYET,14,2,,,0.3,,,0,0,0,,207,61.9,59.4,71.8,56.1,61.0,53.0,0,,33.3,2,0,1,0.0,0,1,328,4,2,0,0,0,0,0.0,
Dominique Ratcliff,122655,DI,TEXAS ST,12,3,,,0.6,,,0,0,0,,314,59.1,82.5,56.2,66.5,90.2,65.5,0,,50.0,3,0,1,0.0,0,1,167,2,0,0,0,0,0,0.0,
Tyree Skipper,122660,S,LA LAFAYET,9,2,11.5,55.6,97.3,24.6,13.7,0,0,2,11.1,207,89.3,84.9,48.1,53.7,65.6,57.1,4,26,19.2,5,1,1,45.1,10,256,263,5,19,18,1,77,48,0.3,7.7
Korian Wilson,122662,CB,LA MONROE,12,1,14.2,51.7,100.0,13.9,7.2,1,1,4,13.8,209,61.4,66.5,83.9,,82.8,72.1,0,41,20.0,4,3,1,116.2,15,215,215,5,15,29,4,219,76,1.0,14.6
Ben Bell,122665,ED,TEXAS ST,4,0,-5.0,100.0,13.0,17.0,17.0,1,0,0,0.0,314,58.0,80.8,0.0,91.1,62.0,43.7,0,-4,66.7,2,0,4,79.2,1,18,138,5,1,1,0,-4,1,-0.2,-4.0
Tyler Grubbs,122674,LB,TULANE,14,9,5.3,75.6,89.8,8.7,6.6,0,1,5,12.2,319,50.8,58.3,86.3,60.2,63.4,56.1,2,51,19.4,7,3,0,88.4,31,283,315,12,20,41,1,349,213,1.3,11.3
Keveion'ta Spears,122687,DI,MEMPHIS,11,0,,,1.4,,,0,0,0,,218,58.8,64.2,81.5,62.9,63.5,74.6,0,,,0,0,0,0.0,0,1,73,0,0,0,0,0,0,0.0,
Cedric Woods,122690,CB,LA TECH,12,1,16.0,45.5,98.7,14.7,6.7,1,0,6,13.6,208,62.2,62.3,85.7,58.6,60.3,57.4,0,28,19.2,5,3,2,71.3,20,307,311,5,20,44,1,251,82,0.9,12.6
Jared Dawson,122703,DI,LOUISVILLE,10,0,,,0.6,,,0,0,0,,210,63.9,80.9,53.1,69.9,84.5,74.4,0,,50.0,1,0,2,0.0,0,1,165,5,1,0,0,0,0,0.0,
Christian Fitzpatrick,122707,WR,MARSHALL,1,0,,,100.0,,,1,0,0,,214,60.0,60.0,63.7,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Greedy Vance Jr.,122729,CB,USC,11,1,8.6,58.6,92.0,13.8,8.1,0,0,6,20.7,326,76.7,74.0,0.0,67.5,65.7,73.4,1,36,10.5,2,2,2,66.0,17,242,263,7,16,29,0,205,152,0.9,12.1
CJ Garnett,122745,LB,N TEXAS,3,0,9.0,0.0,66.7,,9.0,0,0,0,0.0,251,50.5,59.0,75.9,71.6,61.8,27.2,0,,,0,0,0,39.6,0,10,15,0,0,1,0,0,0,0.0,
Ja'Qurious Conley,122827,S,CHARLOTTE,6,2,5.7,73.3,93.3,10.9,8.0,0,0,0,0.0,136,63.5,69.6,85.9,78.3,74.1,77.8,0,19,9.1,1,0,1,83.8,11,126,135,4,8,15,0,74,34,0.6,6.7
Desmond Evans,122833,ED,N CAROLINA,12,0,,,1.3,,,2,0,0,,245,72.0,67.5,6.0,68.7,68.7,57.9,0,,66.7,2,0,6,0.0,0,4,306,4,1,0,0,0,0,0.0,
Tony Grimes,122837,CB,UNLV,13,3,9.5,60.0,99.7,13.7,8.2,0,2,6,13.3,325,77.5,73.9,45.2,60.0,55.3,46.6,0,18,13.6,3,4,4,79.0,27,385,386,6,16,45,1,211,81,0.6,7.8
Kaimon Rucker,122847,ED,N CAROLINA,8,0,5.3,50.0,13.2,12.5,6.3,1,0,0,0.0,245,69.1,74.5,63.1,81.8,60.7,73.3,1,17,50.0,2,0,1,33.3,2,25,190,5,2,4,0,28,28,1.1,14.0
Devon Betty,122853,LB,NC STATE,13,1,4.7,96.7,72.1,8.7,8.4,0,0,0,0.0,248,34.7,48.3,30.5,58.8,60.1,54.5,0,47,5.6,1,0,2,144.4,29,264,366,10,16,30,3,320,196,1.3,11.0
Jayland Parker,122879,LB,NC STATE,3,0,4.0,0.0,75.0,,10.0,0,0,0,0.0,248,43.2,54.5,78.0,51.8,76.8,41.0,0,,50.0,1,0,0,39.6,0,33,44,0,1,3,0,0,0,0.0,
Davin Vann,122887,ED,NC STATE,12,1,,,0.6,,,0,0,0,,248,67.7,83.2,19.8,78.6,82.4,75.2,0,,37.5,3,0,4,0.0,0,2,333,9,4,0,0,0,0,0.0,
Aydan White,122889,CB,NC STATE,11,4,11.1,58.9,99.7,10.5,6.2,0,1,8,14.3,248,71.1,68.2,84.8,59.1,53.3,74.4,1,60,6.8,3,6,2,94.1,33,364,365,7,37,56,3,437,109,1.3,13.2
Jordan Botelho,122894,ED,NOTRE DAME,3,0,,,10.0,,,0,0,0,,258,61.8,81.5,83.5,81.6,72.9,67.9,0,,,0,0,0,0.0,0,5,50,1,0,0,0,0,0,0.0,
Ramon Henderson,122901,S,UCLA,12,2,8.6,69.4,95.9,13.6,9.4,0,0,4,11.1,324,53.0,49.6,8.0,65.7,42.6,30.2,1,52,20.7,6,3,3,93.2,25,355,370,6,21,36,1,307,152,0.9,12.3
Aidan Keanaaina,122903,DI,CAL,13,0,,,0.9,,,0,0,0,,130,62.8,79.0,63.7,71.1,80.1,80.4,0,,50.0,1,0,1,0.0,0,2,222,2,1,0,0,0,0,0.0,
Clarence Lewis,122905,CB,SYRACUSE,13,3,12.4,50.0,99.8,14.4,7.2,0,2,10,17.9,304,78.0,75.4,51.0,58.9,61.7,71.2,1,53,11.4,4,10,2,84.3,28,430,431,5,28,56,4,325,115,0.8,11.6
Xavier Watts,122914,S,NOTRE DAME,16,5,8.6,53.1,97.3,28.1,14.9,0,2,5,15.6,258,89.5,89.7,88.1,75.7,79.5,78.2,6,24,13.2,5,4,0,30.1,17,505,519,7,28,32,0,179,115,0.4,10.5
Noah Arinze,122917,ED,NEW MEX ST,12,0,,,1.2,,,0,0,0,,242,60.4,68.1,81.9,68.7,63.4,59.5,0,,66.7,2,0,0,0.0,0,1,81,3,1,0,0,0,0,0.0,
Jalin Conyers,122920,TE,TEXAS TECH,1,0,,,100.0,,,0,0,0,,315,60.0,60.0,63.1,,,,0,,,0,0,2,0.0,0,1,1,0,0,0,0,0,0,0.0,
Joshua Eaton,122924,CB,TEXAS ST,12,1,11.5,41.7,97.6,20.3,8.4,2,2,4,11.1,314,64.5,63.6,45.9,61.9,60.5,55.5,0,28,17.6,3,2,6,72.1,15,329,337,6,13,36,1,225,74,0.7,15.0
DJ Graham II,122926,CB,UTAH ST,12,3,11.1,64.3,97.1,11.7,7.5,1,0,1,2.4,329,73.0,67.6,0.0,66.3,56.0,64.2,2,39,5.7,2,1,3,95.5,27,333,343,10,30,42,4,282,88,0.9,10.4
Justin Harrington,122928,ED,WASHINGTON,1,0,,,50.0,,,0,0,0,,340,60.9,60.4,69.4,58.3,,,0,,,0,0,0,0.0,0,2,4,0,0,0,0,0,0,0.0,
Shane Whitter,122949,LB,N TEXAS,12,7,4.9,80.6,79.0,9.2,7.4,0,0,3,9.7,251,68.9,66.1,89.6,58.8,63.4,65.2,0,37,18.2,6,3,0,98.7,25,241,305,10,20,31,0,238,130,1.0,9.5
Korie Black,122958,CB,OKLA STATE,12,3,13.3,55.4,99.7,12.0,6.6,0,2,13,23.2,262,74.5,73.9,87.3,62.5,63.2,70.8,3,50,6.9,2,9,2,77.2,31,387,388,5,24,56,3,449,150,1.2,14.5
Mason Cobb,122963,LB,USC,12,9,4.9,70.6,70.3,11.5,8.1,0,0,2,5.9,326,68.0,59.2,62.7,48.1,58.8,60.3,2,22,15.6,5,1,1,84.1,24,284,404,9,18,34,2,229,172,0.8,9.5
Jabbar Muhammad,122978,CB,OREGON,14,2,12.2,46.8,98.4,13.7,6.4,0,1,12,19.4,264,80.3,76.2,50.3,55.1,57.1,78.6,0,44,3.4,1,10,2,72.4,29,419,426,5,26,62,1,387,77,1.0,13.3
Jordan Reagan,122984,CB,MARSHALL,6,0,12.9,80.0,100.0,5.8,4.6,1,0,1,10.0,214,64.0,62.9,77.6,,55.2,82.3,1,47,0.0,0,1,2,112.5,8,48,48,1,5,10,1,139,30,3.0,17.4
Jeff Roberson,122986,LB,OKLA STATE,12,3,3.4,80.0,76.7,12.6,10.1,0,0,0,0.0,262,66.0,60.1,85.4,56.1,56.3,61.3,1,28,18.2,4,0,0,85.5,20,266,347,9,15,25,1,133,118,0.5,6.7
Nick Session,122990,S,NEW MEX ST,9,2,7.7,66.7,99.5,14.8,9.8,0,2,3,16.7,242,72.1,62.8,83.4,60.0,44.5,41.4,0,22,11.1,2,2,0,84.0,12,190,191,6,14,18,0,114,58,0.6,9.5
Rashad Battle,123003,CB,PITTSBURGH,11,1,12.0,64.7,96.7,9.2,5.9,1,0,8,15.7,268,71.2,73.2,84.9,79.7,71.0,65.2,0,43,9.4,3,4,2,121.3,33,320,331,10,28,51,5,399,126,1.3,12.1
Solomon DeShields,123007,LB,TEXAS A&M,11,1,2.9,77.8,69.0,11.7,9.1,0,0,0,0.0,312,53.7,66.1,85.5,66.1,76.3,77.1,0,13,11.1,1,0,0,92.1,7,89,129,3,7,9,0,55,56,0.7,7.9
Dayon Hayes,123010,ED,COLORADO,4,0,,,3.2,,,0,0,0,,143,61.4,63.5,39.4,56.9,70.8,83.1,0,,0.0,0,0,1,0.0,0,3,93,1,1,0,0,0,0,0.0,
Bangally Kamara,123012,LB,S CAROLINA,4,0,-5.0,100.0,86.2,22.0,22.0,0,0,0,0.0,289,69.8,84.4,75.8,55.3,90.0,83.3,0,1,0.0,0,0,0,79.2,1,25,29,1,1,1,0,1,6,0.0,1.0
Buddy Mack III,123015,S,S CAROLINA,2,0,16.0,0.0,100.0,,4.0,0,0,0,0.0,289,42.2,45.7,69.6,,60.0,,0,,,0,0,0,39.6,0,4,4,0,0,1,0,0,0,0.0,
Jahvante Royal,123020,CB,NEW MEXICO,4,0,11.8,80.0,100.0,15.0,12.0,0,0,0,0.0,241,57.5,59.7,78.8,,67.9,72.6,0,14,0.0,0,0,0,145.4,4,66,66,3,4,5,1,47,0,0.8,11.8
Justin Barron,123032,LB,SYRACUSE,13,7,3.1,85.4,89.2,8.6,7.4,0,0,2,4.2,304,64.1,68.9,0.0,72.1,75.5,49.8,1,27,17.0,9,2,7,83.4,41,381,427,16,37,48,0,293,206,0.8,7.1
Ja'Had Carter,123033,S,NC STATE,5,1,11.2,76.9,91.4,9.2,7.1,0,0,1,7.7,248,55.1,57.4,83.6,56.1,64.6,58.4,0,45,30.0,3,1,1,150.0,10,96,105,1,6,13,2,138,56,1.5,13.8
Leon Lowery Jr.,123045,ED,WISCONSIN,12,0,-2.0,100.0,14.5,25.0,25.0,0,0,0,0.0,349,76.0,58.7,88.8,55.1,54.5,72.7,0,4,0.0,0,0,0,83.3,1,26,179,5,5,1,0,4,6,0.2,4.0
Anwar Sparrow,123054,LB,SYRACUSE,7,2,4.3,100.0,85.9,25.0,25.0,0,0,0,0.0,304,55.1,58.0,80.8,52.5,65.8,29.1,0,72,33.3,2,0,0,118.8,3,79,92,0,2,3,0,94,81,1.3,31.3
Stefon Thompson,123055,LB,NEBRASKA,11,4,7.4,50.0,82.6,18.0,9.0,0,0,3,37.5,238,76.8,77.6,0.7,65.5,76.8,89.3,0,11,0.0,0,2,1,62.0,4,76,92,1,6,8,0,35,18,0.5,8.8
Marlowe Wax,123057,LB,SYRACUSE,8,4,7.5,80.8,77.7,9.0,7.3,0,0,0,0.0,304,48.6,61.6,44.7,69.1,70.2,73.9,1,28,15.8,3,0,1,114.3,21,202,260,10,12,26,2,237,86,1.3,11.3
