player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Ahmad Walker,147555,LB,SMU,14,9,2.6,74.4,85.4,12.7,9.5,0,0,2,5.1,287,72.7,80.8,59.1,61.6,87.5,79.0,1,57,19.0,8,2,2,77.7,29,386,452,14,25,39,0,228,189,0.6,7.9
Deshawn Lynch,147813,ED,WASHINGTON,12,0,7.0,100.0,22.9,11.0,11.0,0,0,0,0.0,340,53.2,68.3,87.8,63.0,71.3,50.0,0,21,50.0,1,0,0,114.6,2,24,105,1,1,2,0,23,9,1.0,11.5
Cameron Broussard,147821,S,WASHINGTON,12,2,10.9,38.9,96.4,39.7,15.4,2,0,3,16.7,340,64.1,62.6,85.7,59.4,58.1,71.1,0,16,0.0,0,3,2,51.6,7,292,303,2,10,18,0,74,64,0.3,10.6
Jack Kelly,147861,LB,BYU,13,1,5.0,67.9,71.4,14.7,10.0,0,1,1,3.6,128,45.6,61.1,88.8,70.1,65.3,57.1,1,38,22.7,5,1,0,90.9,19,295,413,11,16,28,1,237,146,0.8,12.5
Garland Benyard,147970,LB,KENNESAW,11,2,5.8,100.0,71.6,21.1,21.1,0,0,0,0.0,200,59.8,52.3,88.2,69.2,41.0,43.5,0,61,28.6,4,0,0,118.8,10,222,310,7,8,10,0,176,118,0.8,17.6
Chance Gamble,147978,CB,GA SOUTHRN,10,4,13.5,58.9,99.1,9.5,5.6,0,3,9,16.1,174,71.1,69.5,6.0,71.4,64.0,59.4,3,76,10.5,4,6,3,76.8,33,333,336,7,30,56,2,484,155,1.6,14.7
Deontre Morris,147990,S,GA SOUTHRN,10,3,8.1,86.7,93.2,18.9,16.4,0,1,1,6.7,174,50.5,56.4,40.5,56.9,69.6,58.0,1,56,23.5,4,1,1,130.6,13,259,278,3,10,15,3,232,141,0.9,17.8
Jaylen Dotson,148010,CB,KENT STATE,11,4,9.0,72.0,96.3,13.7,9.9,2,2,2,8.0,201,64.4,62.8,44.0,49.3,61.4,43.3,0,38,19.0,4,2,7,102.4,18,257,267,3,13,25,0,242,109,1.0,13.4
Johnathan Edwards,148086,CB,TULANE,13,2,8.1,53.8,98.0,16.1,8.7,0,0,2,7.7,319,62.7,64.5,83.0,51.9,70.4,65.9,0,20,7.1,1,1,4,66.3,14,244,249,4,11,26,0,121,55,0.5,8.6
Brandon Fique,148353,LB,JAMES MAD,2,0,0.0,100.0,100.0,3.0,3.0,0,0,0,0.0,197,61.7,67.7,71.1,,67.2,75.0,0,0,,0,0,0,79.2,1,3,3,0,0,1,0,0,0,0.0,0.0
Kye Holmes,148357,S,JAMES MAD,9,1,7.0,33.3,93.0,109.0,36.3,0,0,0,0.0,197,67.4,63.4,81.5,57.6,53.7,50.0,0,1,12.5,1,0,0,42.4,1,119,128,2,6,3,0,1,1,0.0,1.0
Jailin Walker,148369,LB,INDIANA,13,6,3.8,69.5,84.4,7.9,5.5,0,0,7,11.9,190,71.2,82.7,62.0,88.4,84.5,65.4,2,36,14.9,7,6,1,75.7,41,347,411,15,34,59,1,343,233,1.1,8.4
Angelo Rankin Jr.,148426,CB,DOMINION,10,4,14.4,60.0,98.4,16.0,9.6,1,0,2,5.7,263,61.7,63.1,87.8,53.1,66.4,50.1,3,29,22.6,7,2,6,63.5,21,360,366,6,20,35,2,236,40,0.7,11.2
Mason Woods,148468,LB,KENT STATE,12,6,3.6,88.2,81.4,12.9,11.4,0,0,0,0.0,201,51.6,48.0,82.6,48.7,48.7,57.6,0,23,15.0,3,0,0,107.8,15,201,247,4,11,17,0,168,115,0.9,11.2
Chantz Harley,148479,CB,MARYLAND,7,2,9.3,61.1,100.0,7.3,4.4,0,0,2,11.1,215,66.0,66.2,80.9,,63.7,45.1,0,27,21.4,3,1,1,95.4,11,81,81,0,9,18,1,103,46,1.3,9.4
Jackson Ambush,148507,LB,FAU,12,7,5.5,79.2,85.5,14.6,11.6,0,0,3,12.5,165,65.6,64.2,85.8,63.8,60.3,41.5,1,41,13.0,3,3,1,116.3,19,294,344,9,13,24,2,226,138,0.8,11.9
J.T. Anderson,148527,CB,FIU,2,1,4.0,50.0,100.0,15.0,7.5,0,0,0,0.0,166,62.1,69.6,77.6,,79.5,80.7,0,6,0.0,0,0,0,56.3,1,16,16,0,0,2,0,6,0,0.4,6.0
Ayden Garnes,148570,CB,W VIRGINIA,6,0,15.1,51.9,99.4,11.4,5.9,0,1,2,7.4,343,50.9,57.5,81.8,79.4,78.0,72.4,0,49,10.0,2,2,2,80.2,14,170,171,3,18,27,0,226,39,1.4,16.1
Malin White,148771,ED,BUFFALO,13,0,,,2.7,,,0,0,0,,126,61.3,64.7,23.4,65.9,64.5,81.8,0,,0.0,0,0,2,0.0,0,5,186,2,1,0,0,0,0,0.0,
Macklin Ayers,148812,LB,UMASS,12,0,0.8,83.3,70.4,9.2,7.7,0,0,0,0.0,216,67.7,69.5,81.6,59.4,68.9,81.7,0,21,14.3,1,0,0,100.0,5,50,71,5,6,6,0,48,46,1.0,9.6
Leonard St. Gourdin,148829,S,UMASS,10,1,8.0,0.0,98.7,,24.3,0,0,2,66.7,216,69.9,68.5,81.4,59.6,63.7,77.1,0,,20.0,1,2,0,39.6,0,76,77,1,3,3,0,0,0,0.0,
Thor Griffith,148878,DI,LOUISVILLE,13,0,,,0.5,,,0,0,0,,210,83.5,84.3,52.6,69.2,84.0,72.9,0,,0.0,0,0,1,0.0,0,1,194,5,2,0,0,0,0,0.0,
Matt Hudson,148909,ED,MEMPHIS,13,6,6.9,81.1,62.3,9.5,7.7,0,0,0,0.0,218,51.3,60.4,73.9,57.1,70.0,60.2,1,46,16.1,5,0,2,101.5,30,296,475,8,20,37,1,329,168,1.2,11.0
Shamari Simmons,149114,CB,ARIZONA ST,14,9,5.1,70.4,96.6,8.0,5.6,0,0,3,3.7,110,67.3,74.4,56.3,61.3,91.6,59.5,1,36,15.7,8,3,2,86.6,57,481,498,10,34,81,1,523,283,1.1,9.2
Alex Whitmore,149134,DI,UNLV,14,1,,,0.9,,,0,0,1,,325,64.4,74.2,46.2,67.3,78.2,68.8,0,,33.3,2,1,3,0.0,0,4,453,3,3,0,0,0,0,0.0,
