player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Terrance Gibbs,158348,HB,GA SOUTHRN,4,36.4,0,174,59.3,,58.1,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,11,0,6,0,0,4,0
Mason Johnstone,162683,T,CLEMSON,2,100.0,0,140,51.7,,44.5,0,0,0,,,,0,0,0,4,0,0,4,4,0,0,0,0,4,0
Charles Brown,147647,WR,NEVADA,4,57.1,0,239,56.1,,60.5,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,7,0,3,0,0,4,0
Bryce Farrell,131758,WR,STANFORD,2,50.0,0,300,64.2,,60.0,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,8,0,2,0,0,4,0
Tim Marmino,121773,G,MEMPHIS,1,100.0,0,218,58.7,,58.5,0,0,0,,,,0,0,0,4,0,4,0,4,0,0,0,0,4,0
Brennen Milliron,81514,LS,SO MISS,4,100.0,0,296,60.0,75.3,60.0,0,0,1,100.0,100.0,100.0,0,0,0,4,1,0,0,4,2,2,0,0,2,0
Jatavious Magee,146144,S,S DIEGO ST,5,80.0,0,284,57.2,99.9,60.0,0,0,3,75.0,75.0,100.0,0,0,0,4,0,0,0,5,3,4,0,0,1,0
Anthony Adkins,102880,FB,UCLA,4,66.7,0,324,53.5,67.6,55.4,0,0,1,50.0,33.3,100.0,0,0,0,4,0,0,0,6,1,3,0,0,3,0
Bo Burklow,174924,TE,LIBERTY,1,100.0,0,206,60.6,65.3,60.2,0,0,1,100.0,100.0,100.0,0,0,0,4,0,0,0,4,1,1,0,0,3,3
Mason Juergens,176680,WR,WASH STATE,1,100.0,0,341,59.7,,59.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Jelani McLaughlin,171572,S,S DIEGO ST,4,75.0,0,284,55.7,90.2,60.0,0,0,2,66.7,66.7,100.0,0,0,0,3,0,0,0,4,2,3,0,0,1,0
Kal-El Pascal,184151,S,BOWL GREEN,3,75.0,0,122,57.6,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,0
Robby Martin,183365,C,NC STATE,1,100.0,0,248,60.6,,65.1,0,0,0,,,,0,0,0,3,3,0,0,3,0,0,0,0,3,0
Andrew Keller,157574,TE,IOWA STATE,1,60.0,0,193,56.4,,58.2,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,4
Brandon Kelley,171053,ED,UCONN,1,100.0,0,146,59.9,69.8,59.7,0,0,1,100.0,100.0,100.0,1,0,0,3,0,0,0,3,1,1,3,0,2,0
Brinston Williams,163700,HB,MISS STATE,3,100.0,0,227,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,0,0,2,0
Adam Thorsland,146599,TE,ALABAMA,2,100.0,0,103,59.7,,59.3,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Ty Claiborne,157569,WR,IOWA STATE,1,75.0,0,193,57.9,,59.4,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,0
Colby Stafford,157041,WR,AUBURN,1,60.0,0,115,56.8,,60.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Branson Robinson,163749,HB,GEORGIA,6,5.3,0,173,68.2,70.0,47.5,0,0,1,3.4,3.4,100.0,0,0,0,3,0,0,0,57,1,29,0,0,2,0
Xakery Wiedner,186497,WR,COAST CAR,2,50.0,0,141,57.6,,59.4,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,6,0,3,0,0,3,0
Walter Blanchard,184548,WR,GEORGIA,1,100.0,0,173,66.3,,74.6,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Brayden Roggow,184145,QB,AKRON,1,60.0,0,102,54.8,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Sean Judge,191189,T,OLE MISS,2,100.0,0,226,60.0,,58.7,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,2,3,1
Nathan Roberts,174737,WR,TENNESSEE,1,100.0,0,307,60.1,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Kanen Rossi,146555,C,OREGON,1,100.0,0,264,60.0,,60.0,0,0,0,,,,0,0,0,3,3,0,0,3,0,0,0,0,3,0
Cayden Echternach,170224,TE,NEBRASKA,1,75.0,0,238,67.3,,70.5,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,0,3,3
Luke Talich,171100,S,NOTRE DAME,3,100.0,1,258,60.0,99.9,,0,0,3,100.0,100.0,100.0,1,0,0,3,0,0,0,3,3,3,0,0,0,0
Gannon Gaubert,163830,C,TCU,1,100.0,0,305,60.0,,60.3,0,0,0,,,,0,0,0,3,3,0,0,3,0,0,0,0,3,0
Cole Welliver,184039,QB,UCONN,1,42.9,0,146,55.2,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,7,0,4,0,0,3,0
Emanuel Ross,193426,WR,SYRACUSE,2,7.1,0,304,63.5,,59.8,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,42,0,39,0,0,3,0
Frank Ladson Jr.,99571,WR,UMASS,2,60.0,0,216,57.1,,60.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Drayk Bowen,171077,LB,NOTRE DAME,3,100.0,0,258,60.0,99.9,,0,0,3,100.0,100.0,100.0,0,0,0,3,0,0,0,3,3,3,0,0,0,0
Justin Kattus,190439,TE,KENTUCKY,1,100.0,0,202,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Joseph Vinci,184106,LS,NOTRE DAME,3,100.0,0,258,60.0,99.9,60.0,0,0,2,100.0,100.0,100.0,0,0,0,3,0,0,0,3,2,2,0,0,1,0
Cooper Mollison,191135,WR,ALABAMA,1,100.0,0,103,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Jarvis Durr,172305,HB,S ALABAMA,1,37.5,0,288,66.8,,60.0,0,0,0,,,,0,0,0,3,0,0,0,8,0,0,0,0,3,0
Quinn Merritt,163854,WR,TEXAS,1,100.0,0,311,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Cal Tierney,149907,TE,N CAROLINA,2,100.0,0,245,59.8,,59.5,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
James Pogorelc,131777,T,DUKE,2,100.0,0,154,60.0,64.4,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,0,1,2,2
Cooper Alexander,184824,TE,IOWA STATE,1,100.0,0,193,56.1,,55.4,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Maurice Mazzccua,182993,HB,NEBRASKA,2,33.3,0,238,57.2,67.7,60.0,0,0,1,50.0,50.0,100.0,0,0,0,3,0,0,0,9,1,2,0,0,2,0
Trent Mitchell,183366,C,NC STATE,1,100.0,0,248,59.5,,57.5,0,0,0,,,,0,0,0,3,0,0,3,3,0,0,0,0,3,0
Bailey Jaramillo,146537,T,OREGON,1,100.0,0,264,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Will Taylor,184576,WR,GEORGIA,1,100.0,0,173,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Paul Tyson,98363,QB,CLEMSON,2,75.0,0,140,60.2,,60.0,0,0,0,,,,0,0,0,3,0,0,0,4,0,0,0,0,3,0
Hayden Zepp,163981,C,USF,1,100.0,0,327,60.0,,60.1,0,0,0,,,,0,0,0,3,3,0,0,3,0,0,0,0,3,0
Mehki Flowers,164170,WR,PENN STATE,1,100.0,0,266,60.1,,60.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Cade Palmer,186437,FB,AIR FORCE,2,100.0,0,101,60.0,0.0,60.0,0,1,1,100.0,100.0,50.0,0,1,0,3,0,0,0,3,1,1,0,0,2,0
Yakiri Walker,147380,C,COLORADO,1,100.0,0,143,60.1,,60.2,0,0,0,,,,0,0,0,3,3,0,0,3,0,0,0,0,3,0
