player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Pat Conroy,109348,TE,DOMINION,12,0,263,51.4,100.0,120,33.3,120,51.8,2,100.0,360,360,61.9,100.0,216,60.0,216
Beau Stephens,144860,G,IOWA,11,0,192,57.0,100.0,78,21.7,78,69.5,1,100.0,360,360,75.1,100.0,262,72.8,262
Dymere Miller,142935,WR,RUTGERS,13,0,278,60.7,100.0,66,18.3,66,64.8,0,100.0,360,360,65.8,100.0,291,80.8,291
Cortez Braham Jr.,157366,WR,NEVADA,13,0,239,57.2,99.4,168,46.7,169,55.3,3,99.7,360,361,61.9,100.0,159,44.2,159
Matthew Golden,156165,WR,TEXAS,16,1,311,57.3,100.0,155,43.1,155,60.5,2,100.0,360,360,57.0,100.0,173,48.1,173
Tanner Morley,173498,G,COLO STATE,12,0,144,49.9,100.0,20,5.6,20,64.3,1,100.0,360,360,66.7,100.0,318,88.3,318
Steven Hubbard,122021,G,VANDERBILT,13,0,333,57.9,100.0,267,74.4,267,56.4,0,100.0,359,359,55.7,100.0,46,12.8,46
Jack Nelson,129927,T,WISCONSIN,12,0,349,57.2,100.0,133,37.0,133,75.2,1,100.0,359,359,86.4,100.0,203,56.5,203
Jordyn Tyson,157690,WR,ARIZONA ST,12,0,110,65.6,99.4,173,48.2,174,60.4,1,99.7,359,360,67.2,100.0,162,45.1,162
Thomas Johnson,147083,C,COAST CAR,11,0,141,63.8,100.0,124,34.5,124,65.9,1,100.0,359,359,66.3,100.0,204,56.8,204
Xavier Guillory,141590,WR,ARIZONA ST,13,0,110,60.0,100.0,169,47.1,169,56.8,0,100.0,359,359,69.7,100.0,166,46.2,166
Kobe Baynes,122692,G,KANSAS,12,1,198,63.8,100.0,148,41.2,148,69.1,2,100.0,359,359,71.4,100.0,166,46.2,166
Nate Kalepo,100522,G,OLE MISS,12,0,226,57.5,100.0,234,65.2,234,57.8,1,100.0,359,359,60.0,100.0,105,29.2,105
Tanner Arkin,146008,TE,ILLINOIS,13,0,187,62.5,100.0,142,39.6,142,76.9,0,99.7,359,360,77.9,100.0,182,50.7,182
Mathyus Su'a,134899,G,UNLV,14,1,325,67.9,100.0,206,57.4,206,67.5,2,100.0,359,359,62.5,100.0,112,31.2,112
Noah Short,163220,WR,ARMY,14,0,114,56.1,81.1,137,38.2,169,56.9,1,82.9,359,433,53.0,89.1,115,32.0,129
Ross Ulugalu-Maseuli,146155,G,S DIEGO ST,12,0,284,73.9,100.0,87,24.3,87,68.5,1,100.0,358,358,64.9,100.0,260,72.6,260
Michael Gonzalez,144155,G,LOUISVILLE,13,0,210,51.2,100.0,151,42.2,151,62.5,0,100.0,358,358,68.2,100.0,186,52.0,186
Quinn Ewers,127253,QB,TEXAS,14,0,311,60.0,98.8,158,44.3,160,60.0,0,95.7,357,373,60.1,98.9,182,51.0,184
Lance Heard,172477,T,TENNESSEE,11,0,307,41.2,100.0,218,61.1,218,41.5,1,100.0,357,357,51.4,100.0,124,34.7,124
Joshua Braun,124371,G,ARKANSAS,12,0,111,65.7,100.0,200,56.0,200,71.5,1,100.0,357,357,77.3,100.0,136,38.1,136
Seth Henigan,144267,QB,MEMPHIS,13,0,218,60.0,100.0,68,19.0,68,60.0,0,89.5,357,399,60.0,92.2,283,79.3,307
Parker Clements,123345,T,VA TECH,13,0,337,61.7,100.0,110,30.9,110,61.6,0,100.0,356,356,63.3,100.0,213,59.8,213
DJ Campbell,163844,G,TEXAS,16,0,311,64.4,100.0,163,45.8,163,66.5,2,100.0,356,356,57.4,100.0,162,45.5,162
Kaidon Salter,132046,QB,LIBERTY,11,0,206,60.0,89.3,184,51.7,206,60.0,0,83.0,356,429,60.0,86.7,170,47.8,196
Blake Miller,156248,T,CLEMSON,14,0,140,55.2,100.0,160,44.9,160,69.3,0,100.0,356,356,79.1,100.0,143,40.2,143
Jordan McCloud,101058,QB,TEXAS ST,13,0,314,60.1,92.1,222,62.4,241,60.1,0,90.4,356,394,60.0,97.0,130,36.5,134
Luke Kandra,52487,G,CINCINNATI,12,0,138,64.2,100.0,88,24.7,88,74.3,0,100.0,356,356,76.5,100.0,238,66.9,238
Nate Williams,130322,T,S DIEGO ST,12,0,284,69.1,100.0,85,23.9,85,71.7,2,100.0,356,356,73.7,100.0,260,73.0,260
Owen McCown,157688,QB,UTSA,13,0,331,60.4,100.0,152,42.9,152,60.2,0,93.4,354,379,60.1,98.9,187,52.8,189
Mason Bowers,122319,T,KENNESAW,11,0,200,62.3,100.0,244,69.1,244,63.1,1,100.0,353,353,62.3,100.0,81,22.9,81
R.J. Perry,124292,T,USF,12,0,327,54.8,100.0,177,50.1,177,60.1,2,100.0,353,353,62.5,100.0,153,43.3,153
Isaiah Wright,164040,T,UTEP,12,0,330,61.2,100.0,140,39.8,140,66.2,1,100.0,352,352,69.8,100.0,189,53.7,189
Will Howard,122599,QB,OHIO STATE,16,0,260,60.0,85.7,192,54.5,224,60.0,0,81.5,352,432,60.0,89.3,151,42.9,169
Markell Samuel,122253,T,APP STATE,11,0,108,58.8,100.0,58,16.5,58,52.4,0,100.0,351,351,51.2,100.0,275,78.3,275
Jake Wiley,100530,T,HOUSTON,12,0,182,54.9,100.0,118,33.6,118,53.5,0,100.0,351,351,56.1,100.0,202,57.5,202
Jack Hollifield,144079,C,APP STATE,11,0,108,58.3,100.0,58,16.5,58,74.3,2,100.0,351,351,77.2,100.0,275,78.3,275
Gabe Burkle,157578,TE,IOWA STATE,14,0,193,41.5,100.0,205,58.4,205,50.1,0,100.0,351,351,62.9,100.0,124,35.3,124
Chase Hendricks,171348,WR,OHIO,14,0,259,62.5,100.0,202,57.5,202,62.4,0,100.0,351,351,60.5,100.0,118,33.6,118
Caleb Krings,138412,G,DUKE,13,0,154,59.3,100.0,95,27.1,95,65.4,2,100.0,351,351,65.0,100.0,238,67.8,238
Savion Washington,130505,T,SYRACUSE,13,0,304,61.9,100.0,150,42.9,150,69.3,0,100.0,350,350,72.9,100.0,145,41.4,145
Dylan Raiola,183581,QB,NEBRASKA,13,0,238,61.1,98.8,162,46.3,164,60.6,0,94.6,350,370,60.1,97.1,166,47.4,171
Emmanuel Poku,162652,G,E CAROLINA,13,0,156,64.5,100.0,164,46.9,164,66.5,0,100.0,350,350,71.2,100.0,176,50.3,176
Matt Lauter,145992,TE,BOISE ST,14,0,120,39.6,100.0,164,46.9,164,40.8,1,100.0,350,350,54.1,100.0,158,45.1,158
Wyatt Milum,144785,T,W VIRGINIA,11,0,343,78.7,100.0,168,48.1,168,89.2,0,100.0,349,349,90.0,100.0,150,43.0,150
Hayden Hansen,157727,TE,FLORIDA,13,0,163,49.7,100.0,118,33.8,118,51.6,1,100.0,349,349,57.5,100.0,216,61.9,216
Mark Petry,123053,G,SYRACUSE,13,0,304,51.7,100.0,150,43.0,150,58.6,0,100.0,349,349,69.2,100.0,144,41.3,144
Kevin Jennings,158272,QB,SMU,14,0,287,60.2,83.4,126,36.1,151,60.1,0,84.5,349,413,60.0,89.8,211,60.5,235
Germie Bernard,158374,WR,ALABAMA,13,0,103,63.1,98.2,163,46.7,166,68.2,0,98.9,349,353,73.0,100.0,147,42.1,147
Josh Cameron,144513,WR,BAYLOR,13,0,118,58.6,100.0,156,44.7,156,61.0,1,100.0,349,349,63.7,100.0,181,51.9,181
Cam Vaughn,170441,WR,JVILLE ST,14,0,196,62.1,100.0,111,31.9,111,72.8,2,100.0,348,348,74.1,100.0,224,64.4,224
Simione Pale,176626,G,STANFORD,12,0,300,59.9,100.0,212,60.9,212,59.2,2,100.0,348,348,57.8,100.0,95,27.3,95
Brandon Crenshaw-Dickson,101241,T,FLORIDA,12,0,163,60.7,100.0,106,30.5,106,78.3,1,100.0,348,348,84.1,100.0,228,65.5,228
Travis Burke,147952,T,FIU,12,1,166,71.9,100.0,199,57.2,199,78.5,3,100.0,348,348,81.5,100.0,109,31.3,109
Jaren Kump,131859,C,UTAH,12,0,328,64.6,100.0,147,42.2,147,65.8,3,100.0,348,348,66.2,100.0,180,51.7,180
Jermaine Terry II,146295,TE,OREGON ST,12,0,265,43.1,100.0,143,41.1,143,38.7,1,100.0,348,348,45.0,100.0,179,51.4,179
Sean Brown,99181,TE,JVILLE ST,13,0,196,56.6,100.0,98,28.2,98,81.1,3,100.0,348,348,81.8,100.0,227,65.2,227
Caleb Lomu,176655,T,UTAH,12,0,328,70.6,100.0,147,42.4,147,70.1,0,100.0,347,347,69.6,100.0,180,51.9,180
Stephon Dubose-Bourne,145357,T,DOMINION,12,0,263,51.1,100.0,115,33.1,115,47.4,1,100.0,347,347,51.0,100.0,210,60.5,210
