player_id,player_name,position,school,sg_ol_pass_block_grade,sg_ol_run_block_grade,sg_ol_pbe,sg_ol_pressure_allowed_rate,sg_ol_pressures_allowed,sg_ol_sacks_allowed,sg_ol_hits_allowed,sg_ol_hurries_allowed,sg_ol_versatility_count,source,season,sg_qb_pass_grade,sg_qb_btt_rate,sg_qb_twp_rate,sg_qb_pressure_to_sack_rate,sg_qb_avg_depth_of_target,sg_qb_avg_time_to_throw,sg_qb_qb_rating,sg_qb_pressure_grade,sg_qb_pressure_qb_rating,sg_qb_pressure_twp_rate,sg_qb_pressure_btt_rate,sg_qb_pressure_pressure_to_sack_rate,sg_qb_blitz_grade,sg_qb_blitz_qb_rating,sg_qb_no_screen_grade,sg_qb_no_screen_btt_rate,sg_qb_no_screen_twp_rate,sg_qb_play_action_grade,sg_qb_non_play_action_grade,sg_qb_quick_qb_rating,sg_qb_quick_btt_rate,sg_qb_quick_twp_rate,sg_qb_extended_qb_rating,sg_qb_extended_btt_rate,sg_qb_extended_twp_rate,sg_rb_run_grade,sg_rb_elusive_rating,sg_rb_mtf,sg_rb_yco_attempt,sg_rb_explosive_rate,sg_rb_breakaway_percent,sg_rb_targets_per_route,sg_rb_yprr,sg_rb_total_touches,sg_wrte_route_grade,sg_wrte_yprr,sg_wrte_targets_per_route,sg_wrte_contested_catch_rate,sg_wrte_drop_rate,sg_wrte_slot_rate,sg_wrte_inline_rate,sg_wrte_wide_rate,sg_wrte_avoided_tackles,sg_wrte_man_yprr,sg_wrte_zone_yprr,sg_wrte_man_targets_percent,sg_front_run_def_grade,sg_front_stop_percent,sg_front_missed_tackle_rate,sg_def_coverage_grade,sg_def_run_grade,sg_def_tackle_grade,sg_def_missed_tackle_rate,sg_def_qb_rating_against,sg_def_interceptions,sg_def_pass_break_ups,sg_def_tackles,sg_def_tackles_for_loss,sg_def_total_pressures,sg_dl_pass_rush_grade,sg_dl_pass_rush_win_rate,sg_dl_prp,sg_dl_total_pressures,sg_dl_true_pass_set_win_rate,sg_dl_true_pass_set_prp,sg_dl_true_pass_set_total_pressures,sg_cov_grade,sg_cov_forced_incompletion_rate,sg_cov_snaps_per_target,sg_cov_snaps_per_reception,sg_cov_yards_per_snap,sg_cov_qb_rating_against,sg_cov_catch_rate,sg_cov_man_grade,sg_cov_man_qb_rating_against,sg_cov_man_yards_per_snap,sg_cov_zone_grade,sg_cov_zone_qb_rating_against,sg_cov_zone_yards_per_snap,sg_slot_cov_snaps,sg_slot_cov_snaps_per_target,sg_slot_cov_qb_rating_against,sg_slot_cov_yards_per_snap
129676,Nate Boerkircher,TE,TEXAS A&M,64.5,72.2,98.3,0.03279,2,0,0,2,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,3.0,0,0.67,0,0.0,0.1243,1.12,22,67.4,1.12,0.1243,75.0,5.0,22.9,69.0,6.5,1,1.5,1.02,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129727,Gunner Maldonado,S,KANSAS ST,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,3.7,20.0,63.5,68.3,51.4,22.4,35.4,2,1,35,1,1,60.0,,,1,,,0,63.5,7.1,18.9,33.0,0.3,35.4,57.1,68.0,110.0,0.7,61.4,14.8,0.2,27,5.4,84.6,1.44
129766,Cole Brevard,DT,TEXAS,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,4.9,18.8,59.8,71.6,35.1,18.8,0.0,0,0,9,0,10,67.9,8.0,3.6,10,9.4,6.3,4,59.8,,,,0.0,0.0,,59.8,0.0,0.0,,0.0,,,,,
129773,Nick Dawkins,IOL,PENN STATE,79.8,68.3,98.8,0.01662,6,2,1,3,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129928,Riley Nowakowski,TE,INDIANA,69.6,69.7,99.0,0.01299,2,1,1,0,2,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,29.4,0,1.0,0,0.0,0.1565,1.68,34,75.5,1.68,0.1565,57.1,0.0,21.6,67.2,9.5,10,1.37,1.61,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129930,James Thompson Jr.,DT,ILLINOIS,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,11.2,0.0,67.3,79.4,86.8,0.0,0.0,0,0,32,2,15,64.2,5.5,3.9,15,9.1,5.3,7,67.3,,,,0.0,0.0,,58.3,0.0,0.0,66.1,0.0,,,,,
130386,Terion Stewart,RB,VA TECH,80.0,56.0,100.0,0.0,0,0,0,0,0,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,220.7,39,4.87,14,37.1,0.1458,0.4,86,38.4,0.4,0.1458,,33.3,6.8,0.0,0.0,0,0.0,0.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131596,Treydan Stukes,CB,ARIZONA,,,,,,,,,,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,2.0,3.3,90.4,72.5,74.2,10.7,34.4,4,6,34,0,4,84.3,27.3,27.3,4,50.0,62.5,3,90.4,15.4,6.8,11.6,0.8,34.4,59.0,83.2,32.2,1.2,89.5,39.6,0.7,194,6.5,38.6,0.87
131631,Chip Trayanum,RB,TOLEDO,60.9,54.4,96.2,0.06849,5,0,0,5,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,80.4,39.4,23,3.08,35,45.7,0.1604,1.13,203,56.5,1.13,0.1604,0.0,8.7,4.4,2.2,3.3,3,0.78,0.93,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131859,Jaren Kump,IOL,UTAH,69.3,65.3,98.5,0.02558,10,1,0,9,1,scoutinggrade_advanced_signal_2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
