Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
286,S,Jakobe Thomas,Miami (FL),87.3,,,,
287,TE,RJ Maryland,SMU,62.4,,,,
288,DT,Jackie Marshall,Baylor,55.7,,,,
289,IOL,Caden Barnett,Wyoming,71.3,,,,
290,DT,Damonic Williams,Oklahoma,56.1,,,,
291,DT,Keeshawn Silver,USC,56.4,,,,
292,TE,Carsen Ryan,BYU,82.6,,,,
293,S,Xavier Nwankpa,Iowa,71.0,,,,
294,IOL,Bryce Foster,Kansas,69.0,,,,
295,EDGE,Ben Bell,Virginia Tech,70.3,,,,
296,RB,Noah Whittington,Oregon,83.6,,,,
297,IOL,Davion Carter,Texas Tech,70.8,,,,
298,TE,Jack Velling,Michigan State,63.2,,,,
299,CB,Latrell McCutchin Sr.,Houston,78.2,,,,
300,DT,Brandon Cleveland,North Carolina State,72.1,,,,
301,RB,Dean Connors,Houston,76.6,,,,
302,IOL,Luke Petitbon,Florida State,71.9,,,,
303,QB,Behren Morton,Texas Tech,72.0,,,,
304,WR,Squirrel White,Florida State,51.0,,,,
305,OT,Micah Pettus,Florida State,72.5,,,,
306,DT,Gary Smith III,UCLA,75.4,,,,
307,WR,Hank Beatty,Illinois,82.4,,,,
308,WR,Jordan Hudson,SMU,72.6,,,,
309,S,Austin Brown,Wisconsin,51.3,,,,
310,WR,Harrison Wallace III,Mississippi,73.1,,,,
311,DT,Landon Robinson,Navy,78.2,,,,
312,DT,Nick Barrett,South Carolina,76.2,,,,
313,OT,Jeff Persi,Pittsburgh,46.4,,,,
314,IOL,Fernando Carmona,Arkansas,71.2,,,,
315,DT,Cameron Ball,Arkansas,70.6,,,,
316,DT,Bryson Eason,Tennessee,71.2,,,,
317,RB,Adam Randall,Clemson,72.5,,,,
318,LB,Scooby Williams,Texas A&M,78.9,,,,
319,S,DeShon Singleton,Nebraska,72.2,,,,
320,RB,CJ Donaldson,Ohio State,73.2,,,,
321,TE,Jeremiah Franklin,Boston College,65.7,,,,
322,EDGE,Aidan Hubbard,Northwestern,74.5,,,,
323,EDGE,Wesley Williams,Duke,71.9,,,,
324,IOL,Josh Thompson,LSU,64.2,,,,
325,EDGE,Jack Pyburn,LSU,72.9,,,,
326,OT,Keagen Trost,Missouri,92.0,,,,
327,CB,Stephen Hall,Missouri,51.9,,,,
328,S,Jalen Huskey,Maryland,83.6,,,,
329,WR,Caullin Lacy,Louisville,66.7,,,,
330,QB,Grayson James,Boston College,60.6,,,,
331,WR,Emmanuel Henderson Jr.,Kansas,70.9,,,,
332,RB,Logan Diggs,Mississippi,70.1,,,,
333,LB,Jaden Dugger,Louisiana,63.5,,,,
334,IOL,Jaren Kump,Utah,66.3,,,,
335,QB,Mark Gronowski,Iowa,83.3,,,,
336,WR,Donavon Greene,Virginia Tech,59.0,,,,
