Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"192","C","Parker Brailsford","Alabama Crimson Tide","65.6","0.021","","","Not Scored"
"193","T","Nolan Rucci","Penn State Nittany Lions","75.4","0.045","","","Not Scored"
"194","CB","Jermaine Mathews Jr.","Ohio State Buckeyes","62.1","-0.006","","","Not Scored"
"195","TE","Dallen Bentley","Utah Utes","76.7","0.269","","","Not Scored"
"196","CB","Domani Jackson","Alabama Crimson Tide","73.4","0.147","","","Not Scored"
"197","HB","Robert Henry Jr.","UTSA Roadrunners","74.2","-0.068","","","Not Scored"
"198","WR","Caleb Douglas","Texas Tech Red Raiders","67.0","0.078","","","Not Scored"
"199","ED","TJ Guy","Michigan Wolverines","64.3","0.013","","","Not Scored"
"200","HB","Roman Hemby","Indiana Hoosiers","80.9","0.128","","","Not Scored"
"201","WR","Noah Thomas","Georgia Bulldogs","57.9","-0.049","","","Not Scored"
"202","S","Cole Wisniewski","Texas Tech Red Raiders","83.7","0.329","","","Not Scored"
"203","WR","J. Michael Sturdivant","Florida Gators","62.0","-0.009","","","Not Scored"
"204","LB","Owen Heinecke","Oklahoma Sooners","76.1","0.158","","","Not Scored"
"205","HB","Terion Stewart","Virginia Tech Hokies","73.9","-0.047","","","Not Scored"
"206","CB","DJ Harvey","USC Trojans","55.3","-0.043","","","Not Scored"
"207","ED","Vincent Anthony Jr.","Duke Blue Devils","58.2","-0.072","","","Not Scored"
"208","TE","Lake McRee","USC Trojans","68.7","0.125","","","Not Scored"
"209","LB","Bryce Boettcher","Oregon Ducks","77.3","0.305","","","Not Scored"
"210","CB","Devonta Smith","Notre Dame Fighting Irish","72.4","0.077","","","Not Scored"
"211","T","Dametrious Crownover","Texas A&M Aggies","65.2","0.070","","","Not Scored"
"212","CB","Ephesians Prysock","Washington Huskies","76.8","0.180","","","Not Scored"
"213","HB","Rahsul Faison","South Carolina Gamecocks","68.8","-0.065","","","Not Scored"
"214","WR","Josh Cameron","Baylor Bears","72.4","0.131","","","Not Scored"
"215","CB","Ceyair Wright","Nebraska Cornhuskers","66.6","0.013","","","Not Scored"
"216","WR","Reggie Virgil","Texas Tech Red Raiders","68.5","0.056","","","Not Scored"
"217","DI","Zane Durant","Penn State Nittany Lions","63.9","-0.040","","","Not Scored"
"218","DI","James Thompson Jr.","Illinois Fighting Illini","76.5","0.057","","","Not Scored"
"219","T","Fa'alili Fa'amoe","Wake Forest Demon Deacons","67.7","-0.013","","","Not Scored"
"220","QB","Luke Altmyer","Illinois Fighting Illini","77.7","0.483","","","Not Scored"
"221","WR","Vinny Anthony II","Wisconsin Badgers","67.7","0.036","","","Not Scored"
"222","DI","Deven Eastern","Minnesota Golden Gophers","67.3","0.041","","","Not Scored"
"223","FB","Eli Heidenreich","Navy Midshipmen","92.9","0.375","","","Not Scored"
"224","QB","Sawyer Robertson","Baylor Bears","70.3","0.075","","","Not Scored"
"225","DI","Rayshaun Benny","Michigan Wolverines","78.2","0.181","","","Not Scored"
"226","WR","Lewis Bond","Boston College Eagles","74.0","0.091","","","Not Scored"
"227","QB","Taylen Green","Arkansas Razorbacks","83.0","0.190","","","Not Scored"
"228","HB","Kaelon Black","Indiana Hoosiers","83.7","0.114","","","Not Scored"
"229","G","Ethan Onianwa","Ohio State Buckeyes","58.2","-0.018","","","Not Scored"
"230","CB","TJ Hall","Iowa Hawkeyes","79.5","0.203","","","Not Scored"
"231","#N/A","Cole Payton","#N/A","95.8","0.000","","","Not Scored"
"232","CB","Jeadyn Lukus","Clemson Tigers","56.1","-0.071","","","Not Scored"
