player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Palaie Faoa,175336,LB,BOSTON COL,2,4,0,121,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,2,0,0,0,0,0,0,0.0,,0,0,-1.0,100.0,100.0,3.0,3.0,0,0,0.0,41.8,0,24,,0,0,118.8,1,3,75.0,3,0,0,1,0,24,25,8.0,24.0
Max Tucker,175345,CB,BOSTON COL,12,369,0,121,0,13.2,56.3,100.0,6.9,3.9,0,1,3.1,47.8,1,33,14.3,2,1,84.9,18,134,36.3,134,1,12,32,1,296,99,2.4,16.4,0,2,14.9,60.0,98.9,18.9,11.3,1,1,6.7,73.2,1,38,13.3,2,1,58.8,9,179,48.5,181,2,11,15,0,124,34,0.7,13.8
Raul Aguirre Jr.,175372,LB,MIAMI FL,9,85,0,220,1,-4.0,100.0,75.7,13.0,13.0,0,0,0.0,71.1,0,1,0.0,0,0,79.2,2,28,32.9,37,0,0,2,0,-2,6,-0.1,-1.0,0,1,2.5,66.7,93.0,9.3,6.2,0,0,0.0,61.2,0,13,0.0,0,0,74.3,4,40,47.1,43,1,2,6,0,24,12,0.6,6.0
Damari Brown,175373,CB,MIAMI FL,2,16,0,220,0,12.7,66.7,100.0,3.5,2.3,0,0,0.0,50.1,0,19,50.0,1,0,88.2,2,7,43.8,7,0,1,3,0,22,7,3.1,11.0,0,0,35.0,50.0,100.0,8.0,4.0,0,0,0.0,58.9,0,33,0.0,0,0,95.8,1,8,50.0,8,0,1,2,0,33,8,4.1,33.0
Demetrius Freeney,175375,CB,ARIZONA,6,29,0,109,0,19.5,0.0,100.0,,5.0,0,1,50.0,60.4,0,,0.0,0,0,39.6,0,10,34.5,10,1,1,2,0,0,0,0.0,,0,1,0.5,50.0,100.0,15.0,7.5,0,0,0.0,64.5,0,10,0.0,0,0,64.6,1,16,55.2,16,0,3,2,0,10,7,0.7,10.0
Marcellius Pulliam,175385,LB,MICH STATE,1,5,0,223,0,,,75.0,,,0,0,,61.8,0,,,0,0,0.0,0,3,60.0,4,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Robert Stafford III,175386,CB,MIAMI FL,3,16,0,220,0,10.5,0.0,100.0,,3.5,0,1,50.0,66.6,0,,,0,1,39.6,0,7,43.8,7,0,0,2,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.4,0,,,0,0,0.0,0,7,43.8,7,0,0,0,0,0,0,0.0,
Ty Adams,175389,CB,N CAROLINA,5,73,0,245,0,24.5,50.0,100.0,25.0,12.5,0,0,0.0,63.0,0,38,,0,0,135.4,1,25,34.2,25,0,0,2,1,38,2,1.5,38.0,0,0,24.0,100.0,100.0,21.0,21.0,0,0,0.0,65.9,0,69,0.0,0,0,158.3,2,45,61.6,45,0,4,2,1,73,25,1.7,36.5
Kaleb Cost,175392,CB,N CAROLINA,13,444,0,245,1,14.7,59.1,98.0,10.5,6.2,0,2,9.1,49.8,0,37,12.5,1,2,132.6,13,148,33.3,151,3,6,22,3,220,46,1.6,16.9,0,3,7.6,73.3,96.4,7.7,5.6,0,3,6.7,71.2,2,40,16.7,5,3,83.3,33,264,59.5,274,7,22,45,1,337,141,1.3,10.2
Ayden Duncanson,175394,S,E CAROLINA,1,15,0,156,0,,,100.0,,,0,0,,61.8,0,,,0,0,0.0,0,3,20.0,3,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.1,0,,,0,0,0.0,0,11,73.3,11,0,0,0,0,0,0,0.0,
