player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Zach Williams,190755,S,TULSA,8,37,18.5,6.2,320,0,91.0,2,6,1,31,31,0.84
Isaiah Bigby,185580,S,S ILLINOIS,8,92,18.4,6.6,295,1,64.0,5,14,1,128,70,1.39
Tyson Garrett,161318,LB,BUTLER,12,73,18.3,12.2,127,0,85.4,4,6,0,40,31,0.55
Darius Johnson Jr.,164502,CB,GARD-WEBB,5,55,18.3,9.2,171,0,135.4,3,6,1,111,81,2.02
Caleb Blake,97240,CB,BETH COOK,12,164,18.2,8.6,119,1,58.0,9,19,0,175,92,1.07
Clayton Powell-Lee,156305,S,GA TECH,13,127,18.1,7.5,176,0,52.8,7,17,0,67,44,0.53
Mishael Powell,100390,S,MIAMI FL,13,127,18.1,10.6,220,1,67.7,7,12,1,69,28,0.54
Kolin Dinkins,170280,CB,PENN STATE,3,18,18.0,6.0,266,0,42.4,1,3,0,2,4,0.11
Jackson Barrow,97545,LB,TOLEDO,10,54,18.0,10.8,316,0,92.1,3,5,0,48,12,0.89
Cam Stone,128434,CB,HAWAII,6,18,18.0,4.5,180,0,49.0,1,4,0,21,1,1.17
Ben Bogle,160580,LB,S ILLINOIS,6,18,18.0,9.0,295,0,95.8,1,2,1,3,5,0.17
Demarcus Densmore,197434,S,WARNER,1,18,18.0,9.0,407,1,18.8,1,2,0,7,11,0.39
Jayvon Henderson,161247,S,E TENN ST,6,36,18.0,9.0,157,0,56.3,2,4,0,12,9,0.33
Derrick Williams,141820,LB,SOUTHERN U,7,18,18.0,3.6,297,0,39.6,1,5,0,2,0,0.11
Anthony Mackey,186643,S,MERCYHURST,10,54,18.0,6.8,977,0,55.7,3,8,0,43,22,0.8
Mario Buford,183551,S,NEBRASKA,5,36,18.0,9.0,238,0,76.0,2,4,0,31,8,0.86
Cornelius Davis Jr.,176895,S,CAMPBELL,8,18,18.0,6.0,131,0,50.7,1,3,0,15,10,0.83
