player_name,school,position,season,years_played,years_played_seasons,years_played_source,qb_qbr,qb_epa_per_play,qb_success_rate,qb_pressure_to_sack_rate,qb_under_pressure_epa,qb_under_pressure_success_rate,yprr,target_share,targets_per_route_run,explosive_run_rate,missed_tackles_forced_per_touch,pressure_rate,pressures_per_pass_rush_snap,sacks_per_pass_rush_snap,coverage_plays_per_target,yards_allowed_per_coverage_snap,opp_def_ppa_allowed_avg,opp_def_success_rate_allowed_avg,opp_def_toughness_index,opp_def_adjustment_multiplier,opp_def_context_source,cfb_prod_quality_label,cfb_prod_reliability,cfb_prod_real_features,cfb_prod_proxy_features,cfb_prod_provenance,source
Jermaine Mathews Jr,Ohio State,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2654,0.9232,0.1578,0.4282,0.295,0.959,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Jordan Shaw,Texas A&M,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2106,1.1971,0.1206,0.401,0.7225,1.0445,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Josh Moten,Southern Miss,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2998,0.7511,0.1761,0.4277,0.2076,0.9415,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Julian Neal,Arkansas,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2984,0.7578,0.1119,0.3921,0.8124,1.0625,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Kani Walker,Arkansas,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2984,0.7578,0.1119,0.3921,0.8124,1.0625,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Keionte Scott,Miami,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2884,0.808,0.1351,0.4012,0.6677,1.0335,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Lorenzo Styles Jr,Ohio State,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2379,1.0605,0.1578,0.4282,0.295,0.959,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Malik Muhammad,Texas,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2828,0.836,0.1423,0.4048,0.598,1.0196,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Mansoor Delane,LSU,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2991,0.7544,0.1098,0.3855,0.8437,1.0687,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Raion Strader,Auburn,CB,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,,,,0.2379,1.0605,0.136,0.3986,0.6758,1.0352,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.47,0,2,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
