player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Tamarion McDonald,124290,S,LOUISVILLE,13,9,8.6,0,1,210,66.5,71.5,86.5,67.5,78.8,82.4,13.0,6,1,247,251,3.6,9,31
Doneiko Slaughter,124297,CB,ARKANSAS,13,13,8.2,0,0,111,55.2,58.9,37.6,56.6,72.7,69.1,14.6,6,4,343,347,2.3,8,22
Omari Thomas,124300,DI,TENNESSEE,13,5,1.3,1,0,307,66.8,66.4,0.9,69.1,66.5,66.8,10.5,2,4,148,154,6.8,10,12
Fadil Diggs,124314,ED,SYRACUSE,12,8,1.1,1,0,304,56.5,74.7,74.5,83.2,65.7,57.1,15.4,4,1,263,271,4.2,11,14
Antonio Doyle Jr.,124315,ED,UNLV,14,10,3.4,2,0,325,60.9,63.9,17.3,63.0,70.3,82.6,0.0,0,7,326,340,3.7,12,18
Josh Moten,124332,CB,MARSHALL,12,5,11.5,0,0,214,91.5,91.1,85.8,59.1,69.7,69.5,15.8,3,0,315,321,1.3,4,11
Isaiah Raikes,124340,DI,AUBURN,11,5,2.5,0,0,115,,71.9,84.9,66.5,71.3,58.5,10.0,2,0,167,172,4.8,8,13
Dallas Walker IV,124342,DI,W KENTUCKY,14,15,2.8,0,0,346,66.9,62.6,87.2,62.4,59.9,56.2,10.5,6,0,317,318,7.9,25,36
Ethan Barr,124345,LB,UCF,12,11,3.6,0,0,323,69.9,65.1,85.6,47.1,63.7,60.2,17.0,9,0,274,276,8.0,22,33
Donovan Kaufman,124351,S,NC STATE,13,13,9.2,1,0,248,64.4,65.2,39.9,87.7,58.2,76.7,10.0,4,2,309,315,2.6,8,23
De'Rickey Wright,124367,S,VANDERBILT,13,12,8.0,0,0,333,74.7,76.2,43.4,58.5,79.3,80.5,6.7,2,2,245,255,1.2,3,16
Tre'Vez Johnson,124383,S,MISSOURI,12,2,4.8,0,0,229,75.5,72.7,85.5,69.1,61.6,38.2,31.3,5,0,134,136,4.5,6,9
Jalen Lee,124385,DI,LSU,4,0,,0,0,211,,49.5,76.0,60.3,45.5,,,0,0,19,19,0.0,0,0
Mordecai McDaniel,124387,S,CHARLOTTE,10,12,6.6,0,0,136,72.7,69.5,28.7,71.9,63.1,69.3,17.5,7,1,191,196,4.2,8,21
Antwaun Powell-Ryland,124392,ED,VA TECH,12,5,1.9,0,0,337,77.4,78.6,58.3,85.2,63.2,64.9,13.8,4,2,254,257,5.5,14,20
Jahari Rogers,124394,CB,SMU,3,0,,0,0,287,85.0,84.3,75.6,,63.0,76.2,,0,0,17,17,0.0,0,0
Princely Umanmielen,124398,ED,OLE MISS,11,2,1.1,0,0,226,57.3,91.1,89.7,91.5,78.7,70.7,5.3,1,0,162,168,8.6,14,16
Derek Wingo,124401,LB,FLORIDA,12,2,5.0,0,0,163,31.9,37.7,0.0,59.3,54.0,69.1,12.5,1,2,74,75,4.1,3,5
James Williams,124654,ED,NEBRASKA,12,1,2.0,0,0,238,79.8,75.4,0.0,76.9,66.8,65.6,20.0,1,3,40,40,5.0,2,3
Jayden Jones,124724,ED,ARK STATE,8,5,2.4,1,0,113,75.5,69.3,60.4,60.0,69.7,42.5,16.7,5,1,151,152,9.3,14,20
Jack Tchienchou,124782,S,TULANE,13,10,7.0,0,0,319,58.6,63.7,31.7,,74.2,62.8,15.4,6,1,191,192,6.8,13,23
Myles Pollard,124835,CB,MICHIGAN,3,0,,0,0,222,28.9,29.5,72.3,60.0,61.6,74.2,,0,0,10,10,0.0,0,0
Juandarion Silas,124924,ED,KENNESAW,10,19,3.8,0,0,200,61.3,62.8,70.2,68.5,58.8,73.8,8.8,3,1,248,254,1.6,4,12
