player_name,position,school,prev_rank,curr_rank,rank_delta_prev_minus_curr,prev_grade,curr_grade,grade_delta,athletic_delta,production_delta,prior_delta,guardrail_relief_delta,top_driver
David Bailey,EDGE,Texas Tech,21,22,-1,87.87,87.87,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
KC Concepcion,WR,Texas A&M Aggies,32,33,-1,87.21,87.21,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Colton Hood,CB,Tennessee Volunteers,34,35,-1,86.88,86.88,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Josiah Trotter,LB,Missouri Tigers,36,37,-1,86.24,86.24,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Christen Miller,DT,Georgia Bulldogs,37,38,-1,86.16,86.16,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Gabe Jacas,EDGE,Illinois Fighting Illini,40,41,-1,85.64,85.64,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jake Golday,LB,Cincinnati Bearcats,45,46,-1,85.1,85.1,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Brian Parker II,OT,Duke Blue Devils,61,62,-1,82.94,82.94,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Domonique Orange,DT,Iowa State Cyclones,62,63,-1,82.84,82.84,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jake Slaughter,IOL,Florida,64,65,-1,82.36,82.36,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jacob Rodriguez,LB,Texas Tech Red Raiders,65,66,-1,82.44,82.44,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dontay Corleone,DT,Cincinnati Bearcats,66,67,-1,82.47,82.47,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Deontae Lawson,LB,Alabama,72,73,-1,81.72,81.72,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Max Iheanachor,OT,Arizona State Sun Devils,74,75,-1,81.56,81.56,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jalon Kilgore,S,South Carolina,77,78,-1,82.07,82.07,0.0,0.0,0.0,0.0,-0.22,guardrail_relief (down 0.22)
Malik Muhammad,CB,Texas,78,79,-1,80.17,80.17,0.0,0.0,0.0,0.0,-0.22,guardrail_relief (down 0.22)
Nicholas Singleton,RB,Penn State,79,80,-1,81.9,81.9,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Joshua Josephs,EDGE,Tennessee Volunteers,97,98,-1,79.89,79.89,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Gracen Halton,DT,Oklahoma Sooners,98,99,-1,79.64,79.64,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Sam Roush,TE,Stanford Cardinal,99,100,-1,79.59,79.59,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Lee Hunter,DT,Texas Tech Red Raiders,104,105,-1,79.5,79.5,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kyle Louis,LB,Pittsburgh Panthers,109,110,-1,78.84,78.84,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Keylan Rutledge,IOL,Georgia Tech Yellow Jackets,110,111,-1,78.98,78.98,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Zane Durant,DT,Penn State,120,121,-1,79.14,79.14,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jude Bowry,OT,Boston College Eagles,121,122,-1,78.74,78.74,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
DeMonte Capehart,DT,Clemson Tigers,123,124,-1,78.64,78.64,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Le'Veon Moss,RB,Texas A&M,124,125,-1,79.4,79.4,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Michael Taaffe,S,Texas Longhorns,125,126,-1,78.57,78.57,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Seth McGowan,RB,Kentucky Wildcats,130,131,-1,78.4,78.4,0.0,0.0,0.0,0.0,-0.22,guardrail_relief (down 0.22)
Eric Rivers,WR,Georgia Tech Yellow Jackets,138,139,-1,77.67,77.67,0.0,0.0,0.0,0.0,-0.23,guardrail_relief (down 0.23)
Zxavian Harris,DT,Mississippi Rebels,139,140,-1,77.64,77.64,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Cole Payton,QB,North Dakota State,140,141,-1,78.04,78.04,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
De'Zhaun Stribling,WR,Mississippi Rebels,141,142,-1,77.67,77.67,0.0,0.0,0.0,0.0,-0.37,guardrail_relief (down 0.37)
Keagen Trost,OT,Missouri,142,143,-1,77.77,77.77,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Skyler Gill-Howard,DT,Texas Tech Red Raiders,145,146,-1,77.53,77.53,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Trey Zuhn III,IOL,Texas A&M,146,147,-1,77.47,77.47,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Ar'maj Reed-Adams,IOL,Texas A&M,147,148,-1,77.47,77.47,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Parker Brailsford,IOL,Alabama,148,149,-1,77.47,77.47,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jager Burton,IOL,Kentucky Wildcats,149,150,-1,77.47,77.47,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Alex Harkey,IOL,Oregon,150,151,-1,77.47,77.47,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Roman Hemby,RB,Indiana,154,155,-1,78.4,78.4,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Logan Jones,IOL,Iowa Hawkeyes,155,156,-1,76.99,76.99,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Nick Barrett,DT,South Carolina,156,157,-1,77.38,77.38,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Kage Casey,OT,Boise State,161,162,-1,76.71,76.71,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Tanner Koziol,TE,Houston,162,163,-1,76.09,76.09,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Eric McAlister,WR,TCU Horned Frogs,163,164,-1,76.67,76.67,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Kendal Daniels,LB,Oklahoma,164,165,-1,77.38,77.38,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Eli Heidenreich,RB,Navy Midshipmen,166,167,-1,76.27,76.4,0.13,0.0,0.0,0.0,-0.1,guardrail_relief (down 0.10)
Nadame Tucker,EDGE,Western Michigan Broncos,179,180,-1,75.15,75.15,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Quintayvious Hutchins,EDGE,Boston College Eagles,184,185,-1,74.94,74.94,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Marlin Klein,TE,Michigan Wolverines,186,187,-1,74.87,75.1,0.23,0.0,0.0,0.0,0.0,athletic (up 0.00)
Dametrious Crownover,OT,Texas A&M Aggies,188,189,-1,74.0,74.0,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Justin Jefferson,LB,Alabama,191,192,-1,74.4,74.4,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
George Gumbs Jr.,EDGE,Florida Gators,192,193,-1,74.45,74.45,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Anez Cooper,IOL,Miami,193,194,-1,74.34,74.34,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Owen Heinecke,LB,Oklahoma Sooners,195,196,-1,74.07,74.07,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Robert Henry Jr.,RB,UTSA Roadrunners,196,197,-1,74.02,74.02,0.0,0.0,0.0,0.0,0.0,athletic (up 0.00)
Jeff Caldwell,WR,Cincinnati Bearcats,197,198,-1,74.17,74.17,0.0,0.0,0.0,0.0,-0.36,guardrail_relief (down 0.36)
Emmanuel Henderson Jr.,WR,Kansas,202,203,-1,73.11,73.33,0.22,0.0,0.0,0.0,0.0,athletic (up 0.00)
