player_uid,player_name,position,school,sim_drafted_count,sim_drafted_rate,median_pick,mean_pick,pick_variance,pick_std_dev,best_pick,worst_pick,round1_rate,top50_rate,most_common_team,most_common_team_share,representative_class_distance,simulations,softmax_temperature
293-arlis-boardingham,Arlis Boardingham,TE,Florida,750,0.75,203.0,208.62,518.751,22.776,179,257,0.0,0.0,NYG,0.084,20.741,1000,0.13
426-zxavian-harris,Zxavian Harris,DT,Mississippi Rebels,770,0.77,204.5,207.13,628.734,25.075,170,257,0.0,0.0,BAL,0.0766,20.741,1000,0.13
388-keylan-rutledge,Keylan Rutledge,IOL,Georgia Tech Yellow Jackets,693,0.693,205.0,207.95,606.492,24.627,173,257,0.0,0.0,NYJ,0.088,20.741,1000,0.13
270-isaiah-sategna,Isaiah Sategna,WR,Arkansas,640,0.64,205.0,207.79,543.574,23.315,175,257,0.0,0.0,NYJ,0.0984,20.741,1000,0.13
60-conner-weigman,Conner Weigman,QB,Houston,668,0.668,206.0,210.71,397.467,19.937,182,257,0.0,0.0,CIN,0.1048,20.741,1000,0.13
127-tanner-miller,Tanner Miller,IOL,Michigan,635,0.635,206.0,208.19,605.088,24.599,172,257,0.0,0.0,BAL,0.0709,20.741,1000,0.13
399-pat-coogan,Pat Coogan,IOL,Indiana Hoosiers,664,0.664,207.0,211.26,557.437,23.61,177,257,0.0,0.0,MIN,0.0708,20.741,1000,0.13
289-tanner-koziol,Tanner Koziol,TE,Houston,771,0.771,208.0,212.41,489.22,22.118,183,257,0.0,0.0,NYG,0.0895,20.741,1000,0.13
423-max-llewellyn,Max Llewellyn,EDGE,Iowa Hawkeyes,746,0.746,208.0,212.22,301.985,17.378,190,257,0.0,0.0,DET,0.1139,20.741,1000,0.13
64-jaydn-ott,Jaydn Ott,RB,Oklahoma,738,0.738,208.0,209.94,423.964,20.59,181,257,0.0,0.0,DET,0.1206,20.741,1000,0.13
296-oscar-cardenas,Oscar Cardenas,TE,UTSA,702,0.702,209.0,213.52,418.216,20.45,185,257,0.0,0.0,NE,0.0783,20.741,1000,0.13
393-mike-washington-jr.,Mike Washington Jr.,RB,Arkansas Razorbacks,746,0.746,210.0,211.99,406.895,20.172,184,257,0.0,0.0,NYG,0.1153,20.741,1000,0.13
579-charles-demmings,Charles Demmings,CB,Stephen F. Austin,798,0.798,211.0,213.77,366.743,19.151,187,257,0.0,0.0,CIN,0.0977,20.741,1000,0.13
614-anto-saka,Anto Saka,EDGE,Northwestern,722,0.722,211.5,217.13,329.56,18.154,193,257,0.0,0.0,DET,0.1413,20.741,1000,0.13
47-keeshawn-silver,Keeshawn Silver,DT,USC,738,0.738,213.0,213.14,504.268,22.456,178,257,0.0,0.0,MIN,0.0786,20.741,1000,0.13
45-gunner-stockton,Gunner Stockton,QB,Georgia,657,0.657,213.0,215.68,327.79,18.105,188,257,0.0,0.0,PIT,0.1157,20.741,1000,0.13
424-nate-boerkircher,Nate Boerkircher,TE,Texas A&M Aggies,635,0.635,214.0,219.84,364.266,19.086,194,257,0.0,0.0,PIT,0.0866,20.741,1000,0.13
370-marlin-klein,Marlin Klein,TE,Michigan Wolverines,686,0.686,216.0,220.57,323.137,17.976,197,257,0.0,0.0,DET,0.0802,20.741,1000,0.13
443-bryce-boettcher,Bryce Boettcher,LB,Oregon Ducks,678,0.678,216.0,217.4,417.547,20.434,186,257,0.0,0.0,MIN,0.0723,20.741,1000,0.13
617-terrance-carter-jr.,Terrance Carter Jr.,TE,Texas Tech,645,0.645,216.0,220.48,326.609,18.072,195,257,0.0,0.0,DET,0.0853,20.741,1000,0.13
437-j.-michael-sturdivant,J. Michael Sturdivant,WR,Florida Gators,571,0.571,216.0,218.45,350.489,18.721,191,257,0.0,0.0,DET,0.0701,20.741,1000,0.13
481-peyton-bowen,Peyton Bowen,S,Oklahoma Sooners,698,0.698,218.0,220.97,261.018,16.156,198,257,0.0,0.0,NYJ,0.0931,20.741,1000,0.13
624-red-murdock,Red Murdock,LB,Buffalo,643,0.643,218.0,219.81,376.943,19.415,189,257,0.0,0.0,MIN,0.0809,20.741,1000,0.13
398-aaron-anderson,Aaron Anderson,WR,LSU Tigers,562,0.562,218.0,219.24,358.636,18.938,192,257,0.0,0.0,LAR,0.0907,20.741,1000,0.13
628-aj-harris,AJ Harris,CB,Penn State,735,0.735,219.0,220.66,321.522,17.931,196,257,0.0,0.0,GB,0.0966,20.741,1000,0.13
471-elijah-pritchett,Elijah Pritchett,OT,Nebraska Cornhuskers,789,0.789,220.0,222.51,263.013,16.218,200,257,0.0,0.0,LAR,0.1217,20.741,1000,0.13
436-cole-wisniewski,Cole Wisniewski,S,Texas Tech Red Raiders,693,0.693,220.0,222.99,239.202,15.466,201,257,0.0,0.0,NYJ,0.0938,20.741,1000,0.13
431-dallen-bentley,Dallen Bentley,TE,Utah Utes,642,0.642,221.0,222.91,293.662,17.137,199,257,0.0,0.0,DET,0.0779,20.741,1000,0.13
143-kage-casey,Kage Casey,OT,Boise State,771,0.771,224.0,226.47,247.056,15.718,205,257,0.0,0.0,LAR,0.1219,20.741,1000,0.13
383-jude-bowry,Jude Bowry,OT,Boston College Eagles,742,0.742,224.0,226.6,205.044,14.319,206,257,0.0,0.0,PIT,0.1078,20.741,1000,0.13
615-ethan-burke,Ethan Burke,EDGE,Texas,601,0.601,224.0,227.31,184.059,13.567,209,257,0.0,0.0,DET,0.1531,20.741,1000,0.13
410-bishop-fitzgerald,Bishop Fitzgerald,S,USC Trojans,652,0.652,225.0,226.92,175.885,13.262,207,257,0.0,0.0,BUF,0.0951,20.741,1000,0.13
570-rohan-jones,Rohan Jones,TE,Arkansas Razorbacks,627,0.627,225.0,226.51,279.363,16.714,202,257,0.0,0.0,DET,0.0957,20.741,1000,0.13
67-demond-claiborne,Demond Claiborne,RB,Wake Forest,582,0.582,226.0,229.32,179.991,13.416,212,257,0.0,0.0,DAL,0.1186,20.741,1000,0.13
611-alex-harkey,Alex Harkey,IOL,Oregon,515,0.515,226.0,227.01,255.031,15.97,203,257,0.0,0.0,LAR,0.0893,20.741,1000,0.13
389-jalen-stroman,Jalen Stroman,S,Notre Dame Fighting Irish,599,0.599,227.0,229.2,154.75,12.44,211,257,0.0,0.0,MIN,0.0935,20.741,1000,0.13
405-kyle-louis,Kyle Louis,LB,Pittsburgh Panthers,538,0.538,228.0,228.98,234.674,15.319,204,257,0.0,0.0,LAR,0.1041,20.741,1000,0.13
625-carter-smith,Carter Smith,IOL,Indiana,481,0.481,229.0,229.8,191.881,13.852,208,257,0.0,0.0,PIT,0.106,20.741,1000,0.13
394-hezekiah-masses,Hezekiah Masses,CB,California Golden Bears,616,0.616,229.5,230.37,165.908,12.881,210,257,0.0,0.0,DET,0.0731,20.741,1000,0.13
59-jaden-rashada,Jaden Rashada,QB,Sacramento State,424,0.424,230.5,233.07,155.562,12.472,216,257,0.0,0.0,GB,0.0896,20.741,1000,0.13
56-tacario-davis,Tacario Davis,CB,Washington,604,0.604,231.0,232.01,144.887,12.037,213,257,0.0,0.0,PIT,0.0828,20.741,1000,0.13
582-derek-robertson,Derek Robertson,QB,Monmouth,411,0.411,233.0,235.1,137.452,11.724,218,257,0.0,0.0,NYJ,0.1022,20.741,1000,0.13
212-domani-jackson,Domani Jackson,CB,Alabama,549,0.549,234.0,236.35,114.979,10.723,220,257,0.0,0.0,MIN,0.1093,20.741,1000,0.13
406-dae'quan-wright,Dae'Quan Wright,TE,Mississippi Rebels,535,0.535,234.0,234.57,174.754,13.219,214,257,0.0,0.0,DEN,0.1028,20.741,1000,0.13
473-raion-strader,Raion Strader,CB,Auburn Tigers,554,0.554,234.5,235.96,105.237,10.259,221,257,0.0,0.0,MIN,0.1245,20.741,1000,0.13
412-john-michael-gyllenborg,John Michael Gyllenborg,TE,Wyoming Cowboys,519,0.519,235.0,235.22,161.564,12.711,215,257,0.0,0.0,DEN,0.1156,20.741,1000,0.13
376-joe-royer,Joe Royer,TE,Cincinnati Bearcats,501,0.501,237.0,237.32,124.819,11.172,219,257,0.0,0.0,DEN,0.1257,20.741,1000,0.13
