consensus_rank,player_name,position,school,final_grade,round_value,consensus_board_mean_rank,consensus_board_rank_std,consensus_board_source_count,formula_score,formula_trait_component,formula_production_component,formula_athletic_component,formula_size_component,formula_context_component,formula_risk_penalty,formula_guardrail_penalty,formula_drift_penalty,formula_hard_cap_penalty,language_adjustment_applied,best_team_fit,variance_flag
272,Hezekiah Masses,CB,California Golden Bears,72.85,Round 5-6,156.0,9.93,3,76.53,50.19,69.37,70.0,90.0,79.5,1.26,2.3,0.0,0.0,-0.0241,JAX,medium_variance
273,John Michael Gyllenborg,TE,Wyoming Cowboys,72.84,Round 5-6,173.5,5.5,2,77.5,60.0,63.0,70.0,90.0,79.5,1.01,2.85,0.0,0.0,0.0,IND,medium_variance
274,Dante Moore,QB,Oregon,72.81,Round 5-6,,,,74.29,46.29,64.0,68.0,90.0,79.0,4.7,1.4,0.0,0.0,-0.0806,LV,high_variance
275,Cole Payton,QB,North Dakota State,72.8,Round 5-6,183.5,47.5,2,75.47,46.99,76.0,68.0,90.0,79.0,2.45,1.26,1.4,0.0,-0.0064,LV,high_variance
276,Peyton Bowen,S,Oklahoma Sooners,72.71,Round 5-6,251.0,0.0,1,76.74,60.0,68.76,70.0,90.0,79.5,1.26,4.03,0.0,0.0,0.0,MIA,high_variance
277,Joe Royer,TE,Cincinnati Bearcats,72.63,Round 5-6,137.33,15.63,3,74.95,50.19,63.0,70.0,90.0,79.5,1.01,2.3,0.0,0.0,-0.0241,IND,medium_variance
278,John Mateer,QB,Oklahoma,72.61,Round 5-6,,,,74.7,50.62,64.0,68.0,90.0,79.0,2.95,2.0,0.0,0.0,-0.0942,LV,high_variance
279,Cole Wisniewski,S,Texas Tech Red Raiders,72.56,Round 5-6,207.5,5.5,2,78.42,60.0,71.29,70.0,90.0,79.5,1.26,3.15,0.0,0.0,0.0,MIA,medium_variance
280,Bryce Boettcher,LB,Oregon Ducks,72.56,Round 5-6,180.0,29.0,2,78.09,60.0,68.76,70.0,90.0,79.5,1.01,3.54,0.0,0.0,0.0,LAR,high_variance
281,Tacario Davis,CB,Washington,72.49,Round 5-6,160.33,10.21,3,74.94,50.19,63.53,70.0,89.3,79.5,1.26,1.49,0.94,0.0,-0.0241,JAX,medium_variance
282,Raion Strader,CB,Auburn Tigers,72.49,Round 5-6,243.0,0.0,1,75.82,60.0,63.0,70.0,90.0,79.5,1.26,3.33,0.0,0.0,0.0,JAX,high_variance
283,Barion Brown,WR,LSU,72.47,Round 5-6,275.5,73.5,2,75.69,60.0,63.49,70.0,90.0,79.5,1.01,2.02,1.19,0.0,0.0,CLE,high_variance
284,Red Murdock,LB,Buffalo,72.45,Round 5-6,222.0,0.0,1,73.97,50.74,63.7,70.0,90.0,79.5,1.01,1.43,0.0,0.0,-0.0907,LAR,high_variance
285,Eric Rivers,WR,Georgia Tech Yellow Jackets,72.42,Round 5-6,175.33,36.33,3,77.07,51.75,66.0,70.0,90.0,80.0,0.44,2.7,0.0,0.0,-0.0815,CLE,medium_variance
286,Josh Hoover,QB,TCU,72.39,Round 5-6,,,,73.86,50.59,64.0,68.0,90.0,79.0,4.2,1.4,0.0,0.0,-0.0722,LV,high_variance
287,Emmanuel Henderson Jr.,WR,Kansas,72.38,Round 5-6,,,,73.21,50.2,63.0,70.0,90.0,79.5,1.23,0.8,0.0,0.0,-0.0259,CLE,high_variance
288,Domani Jackson,CB,Alabama,72.37,Round 5-6,180.67,35.97,3,77.68,60.0,66.29,70.0,90.0,79.5,1.26,3.3,0.0,0.0,0.0,JAX,high_variance
289,Bishop Fitzgerald,S,USC Trojans,72.36,Round 5-6,165.0,9.42,3,76.48,50.19,74.62,70.0,90.0,79.5,1.26,2.5,0.0,0.0,-0.0241,MIA,medium_variance
290,Reggie Virgil,WR,Texas Tech Red Raiders,72.27,Round 5-6,167.67,34.24,3,77.53,60.0,64.74,70.0,90.0,79.5,1.01,3.6,0.0,0.0,0.0,CLE,high_variance
291,Jalen Stroman,S,Notre Dame Fighting Irish,72.22,Round 5-6,209.0,75.0,2,78.89,60.0,69.39,70.0,90.0,79.5,1.26,2.25,1.67,0.0,0.0,MIA,high_variance
292,Jaeden Roberts,IOL,Alabama,72.21,Round 5-6,173.67,15.15,3,78.15,60.0,65.27,70.0,90.0,79.5,1.01,3.3,0.82,0.0,0.0,DET,medium_variance
293,Logan Jones,IOL,Iowa Hawkeyes,72.15,Round 5-6,144.0,25.73,3,75.47,50.19,70.22,70.0,90.0,79.5,1.01,3.3,0.0,0.0,-0.0241,DET,high_variance
294,Eli Heidenreich,RB,Navy Midshipmen,72.08,Round 5-6,223.5,0.5,2,78.28,60.0,77.0,70.0,90.0,79.5,1.26,3.07,0.0,0.0,0.0,DAL,medium_variance
295,Kaelon Black,RB,Indiana Hoosiers,71.94,Round 6-7,195.0,33.0,2,77.47,60.0,71.36,70.0,90.0,79.5,1.01,3.15,0.0,0.0,0.0,DAL,high_variance
296,Quintayvious Hutchins,EDGE,Boston College Eagles,71.89,Round 6-7,209.5,46.5,2,78.28,60.0,66.48,70.0,90.0,79.5,1.01,2.85,0.78,0.0,0.0,ATL,high_variance
297,Ryan Baer,OT,Pittsburgh Panthers,71.86,Round 6-7,328.0,0.0,1,75.89,60.0,69.08,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,LAR,high_variance
298,Devon Marshall,CB,North Carolina State Wolfpack,71.8,Round 6-7,189.5,11.5,2,76.51,50.2,74.2,70.0,90.0,79.5,1.26,2.45,0.0,0.0,-0.0259,JAX,medium_variance
299,Tre Smith,EDGE,Arizona Wildcats,71.75,Round 6-7,313.0,0.0,1,75.78,60.0,69.21,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,ATL,high_variance
300,Mo Westmoreland,EDGE,Tulane Green Wave,71.72,Round 6-7,337.0,0.0,1,75.75,60.0,69.23,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,ATL,high_variance
301,Kevin Coleman Jr.,WR,Missouri Tigers,71.69,Round 6-7,154.67,25.22,3,76.39,50.63,69.03,70.0,90.0,80.0,0.44,3.3,0.0,0.0,-0.0778,CLE,medium_variance
302,Parker Brailsford,IOL,Alabama,71.55,Round 6-7,151.0,29.22,3,75.34,51.6,63.23,70.0,88.8,79.5,1.01,2.5,0.0,0.0,-0.063,DET,high_variance
303,Robert Henry Jr.,RB,UTSA Roadrunners,71.51,Round 6-7,207.5,10.5,2,77.07,60.0,67.72,70.0,90.0,79.5,1.01,2.85,0.0,0.0,0.0,DAL,medium_variance
304,Kyle Louis,LB,Pittsburgh Panthers,71.49,Round 6-7,104.0,40.36,3,73.91,50.19,67.65,56.25,90.0,80.0,0.44,2.4,0.0,0.0,-0.0241,LAR,medium_variance
305,Jeff Caldwell,WR,Cincinnati Bearcats,71.48,Round 6-7,213.5,33.5,2,77.52,60.0,64.63,70.0,90.0,79.5,1.01,3.17,0.0,0.0,0.0,CLE,high_variance
306,Vincent Anthony Jr.,EDGE,Duke Blue Devils,71.47,Round 6-7,194.5,12.5,2,77.39,60.0,63.71,70.0,90.0,79.5,1.01,3.54,0.0,0.0,0.0,ATL,medium_variance
307,Jahiem Lawson,EDGE,Clemson,71.46,Round 6-7,412.0,0.0,1,72.98,50.74,63.7,70.0,90.0,79.5,1.01,1.43,0.0,0.0,-0.0907,ATL,high_variance
308,Robert Spears-Jennings,S,Oklahoma Sooners,71.44,Round 6-7,205.5,19.5,2,76.95,60.0,63.0,70.0,90.0,79.5,1.26,2.85,0.0,0.0,0.0,MIA,high_variance
309,Daniel Harris,CB,Georgia Bulldogs,71.38,Round 6-7,268.0,0.0,1,75.41,60.0,63.0,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,JAX,high_variance
310,Jalen McMurray,S,Tennessee,71.31,Round 6-7,303.0,0.0,1,72.76,50.19,63.0,70.0,90.0,79.5,1.23,1.43,0.0,0.0,-0.0241,MIA,high_variance
311,Jordan Hudson,WR,SMU,71.29,Round 6-7,301.0,0.0,1,72.74,50.19,63.0,70.0,90.0,79.5,1.23,1.43,0.0,0.0,-0.0241,CLE,high_variance
312,Nadame Tucker,EDGE,Western Michigan Broncos,71.28,Round 6-7,164.5,6.5,2,75.07,50.2,70.0,70.0,90.0,79.5,1.46,2.19,0.0,0.0,-0.0259,ATL,medium_variance
313,Anthony Smith,WR,East Carolina Pirates,71.27,Round 6-7,318.0,0.0,1,75.3,60.0,66.75,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,CLE,high_variance
314,Jalon Daniels,QB,Kansas Jayhawks,71.18,Round 6-7,186.0,9.0,2,77.24,58.0,73.15,68.0,90.0,79.0,2.85,3.91,0.0,0.0,0.0,LV,high_variance
315,Treydan Stukes,CB,Arizona Wildcats,71.14,Round 6-7,161.0,90.57,3,75.75,50.19,74.33,70.0,90.0,79.5,1.26,3.1,0.0,0.0,-0.0241,JAX,high_variance
316,Anez Cooper,IOL,Miami,71.0,Round 6-7,260.0,0.0,1,72.45,50.19,63.0,70.0,90.0,79.5,1.23,1.43,0.0,0.0,-0.0241,DET,high_variance
317,Lander Barton,LB,Utah Utes,71.0,Round 6-7,177.67,52.16,3,76.93,60.0,64.61,70.0,90.0,79.5,1.01,4.0,0.0,0.0,0.0,LAR,high_variance
318,Dean Miller,EDGE,Kansas Jayhawks,70.99,Round 6-7,330.0,0.0,1,75.02,60.0,66.92,70.0,90.0,79.5,1.46,4.03,0.0,0.0,0.0,ATL,high_variance
319,Fa'alili Fa'amoe,OT,Wake Forest Demon Deacons,70.98,Round 6-7,202.5,16.5,2,77.11,60.0,64.33,70.0,90.0,79.5,1.01,3.54,0.0,0.0,0.0,LAR,high_variance
320,Jimmori Robinson,EDGE,West Virginia Mountaineers,70.83,Round 6-7,345.0,0.0,1,74.86,60.0,63.7,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,ATL,high_variance
321,Devonte Ross,WR,Penn State Nittany Lions,70.8,Round 6-7,344.0,0.0,1,74.83,60.0,64.72,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,CLE,high_variance
322,Jeff Persi,OT,Pittsburgh Panthers,70.77,Round 6-7,294.0,0.0,1,74.8,60.0,63.0,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,LAR,high_variance
323,TJ Guy,EDGE,Michigan Wolverines,70.64,Round 6-7,228.0,29.0,2,77.06,60.0,65.36,70.0,90.0,79.5,1.46,3.17,0.0,0.0,0.0,ATL,high_variance
324,Mason Randolph,IOL,Boise State Broncos,70.62,Round 6-7,329.0,0.0,1,74.65,60.0,65.58,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DET,high_variance
325,Lewis Bond,WR,Boston College Eagles,70.6,Round 6-7,215.0,11.0,2,77.38,60.0,67.19,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,CLE,medium_variance
326,Kendal Daniels,LB,Oklahoma,70.59,Round 6-7,288.0,50.0,2,73.68,50.19,68.78,70.0,90.0,79.5,1.01,1.88,1.19,0.0,-0.0241,LAR,high_variance
327,Jam Miller,RB,Alabama Crimson Tide,70.57,Round 6-7,265.0,0.0,1,74.6,60.0,63.54,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DAL,high_variance
328,Nikai Martinez,S,Michigan State Spartans,70.51,Round 6-7,299.0,0.0,1,74.54,60.0,63.0,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,MIA,high_variance
