pff_rank,pff_player,pff_position,pff_school,match_type,board_player,board_position,board_school,board_rank_seed,board_final_rank,board_grade,pff_grade
341,Dillon Wade,G,Auburn,exact,Dillon Wade,IOL,Auburn Tigers,300,,68.21,59.6
343,Wesley Bissainthe,LB,Miami (FL),name_pos,Wesley Bissainthe,LB,Miami (FL) Hurricanes,300,,70.19,64.7
345,Ahmaad Moses,S,SMU,exact,Ahmaad Moses,S,SMU Mustangs,300,,68.51,70.4
347,Chris Hilton Jr.,WR,LSU,exact,Chris Hilton Jr.,WR,LSU Tigers,300,,69.71,51.6
348,Bauer Sharp,TE,LSU,exact,Bauer Sharp,TE,LSU Tigers,300,,66.77,47.9
351,Jaylon Guilbeau,CB,Texas,exact,Jaylon Guilbeau,CB,Texas Longhorns,300,,68.85,65.4
355,Garrett DiGiorgio,G,UCLA,exact,Garrett DiGiorgio,IOL,UCLA Bruins,300,,65.06,67.2
359,Kendal Daniels,S,Oklahoma,name_only,Kendal Daniels,LB,Oklahoma,75,,77.38,77.4
363,Avery Smith,CB,Toledo,name_pos,Avery Smith,CB,Toledo Rockets,300,,65.85,70.6
371,Barion Brown,WR,LSU,exact,Barion Brown,WR,LSU,82,,64.59,68.5
376,David Gusta,DI,Kentucky,name_only,David Gusta,DT,Kentucky,119,,78.64,76.3
397,Anez Cooper,G,Miami (FL),name_pos,Anez Cooper,IOL,Miami,151,,74.34,68.7
403,Jalen Walthall,WR,Incarnate Word,exact,Jalen Walthall,WR,Incarnate Word,38,,69.34,76.8
410,Toriano Pride Jr.,CB,Missouri,exact,Toriano Pride Jr.,CB,Missouri,227,,79.06,74.4
429,Justin Jefferson,LB,Alabama,exact,Justin Jefferson,LB,Alabama,181,,74.56,67.7
436,Alex Harkey,T,Oregon,name_only,Alex Harkey,IOL,Oregon,115,,77.47,65.0
