pff_rank,pff_player,pff_position,pff_school,match_type,board_player,board_position,board_school,board_rank_seed,board_final_rank,board_grade,pff_grade
93,Jonah Coleman,HB,Washington,exact,Jonah Coleman,RB,Washington Huskies,84,,82.88,82.1
94,Malachi Fields,WR,Notre Dame,exact,Malachi Fields,WR,Notre Dame Fighting Irish,101,,78.92,75.8
96,LT Overton,ED,Alabama,name_only,LT Overton,EDGE,Alabama,23,,78.34,64.2
97,Antonio Williams,WR,Clemson,exact,Antonio Williams,WR,Clemson,267,,79.09,80.3
99,Dontay Corleone,DI,Cincinnati,name_only,Dontay Corleone,DT,Cincinnati Bearcats,62,,82.43,72.6
100,Anthony Lucas,ED,USC,name_only,Anthony Lucas,EDGE,USC Trojans,75,,82.05,71.4
101,Deontae Lawson,LB,Alabama,exact,Deontae Lawson,LB,Alabama,96,,81.72,77.6
102,De'Zhaun Stribling,WR,Mississippi,exact,De'Zhaun Stribling,WR,Mississippi Rebels,110,,77.67,79.2
103,Bryce Lance,WR,North Dakota State,exact,Bryce Lance,WR,North Dakota State,38,,81.17,89.5
104,Ted Hurst,WR,Georgia State,exact,Ted Hurst,WR,Georgia State Panthers,150,,79.67,82.0
105,Carson Beck,QB,Miami (FL),name_pos,Carson Beck,QB,Miami (FL) Hurricanes,96,,78.04,73.6
106,Will Lee III,CB,Texas A&M,exact,Will Lee III,CB,Texas A&M Aggies,106,,78.44,66.5
107,Zakee Wheatley,S,Penn State,exact,Zakee Wheatley,S,Penn State Nittany Lions,97,,78.35,85.9
109,Rayshaun Benny,DI,Michigan,name_only,Rayshaun Benny,DT,Michigan Wolverines,219,,75.83,78.2
110,Bryce Boettcher,LB,Oregon,exact,Bryce Boettcher,LB,Oregon Ducks,204,,77.01,77.4
111,Michael Trigg,TE,Baylor,exact,Michael Trigg,TE,Baylor Bears,80,,80.11,72.4
112,CJ Daniels,WR,Miami (FL),name_pos,CJ Daniels,WR,Miami (FL) Hurricanes,79,,79.17,73.3
114,Kage Casey,T,Boise State,exact,Kage Casey,OT,Boise State,143,,76.71,80.0
115,Tyreak Sapp,ED,Florida,name_only,Tyreak Sapp,EDGE,Florida,84,,78.09,65.0
116,Jack Endries,TE,Texas,exact,Jack Endries,TE,Texas Longhorns,77,,79.59,68.5
117,Chris McClellan,DI,Missouri,name_only,Chris McClellan,DT,Missouri Tigers,300,,69.16,78.2
119,Brian Parker II,T,Duke,exact,Brian Parker II,OT,Duke Blue Devils,103,,82.94,85.5
120,Seth McGowan,HB,Kentucky,exact,Seth McGowan,RB,Kentucky Wildcats,99,,78.4,70.1
121,Jaishawn Barham,ED,Michigan,name_only,Jaishawn Barham,LB,Michigan,142,,80.38,79.3
122,Jalon Kilgore,CB,South Carolina,name_only,Jalon Kilgore,S,South Carolina,26,,82.07,69.7
123,Reggie Virgil,WR,Texas Tech,name_pos,Reggie Virgil,WR,Texas Tech Red Raiders,211,,71.63,68.5
124,DeMonte Capehart,DI,Clemson,name_only,DeMonte Capehart,DT,Clemson Tigers,171,,78.64,71.2
125,Justin Joly,TE,North Carolina State,exact,Justin Joly,TE,North Carolina State Wolfpack,91,,79.16,77.9
126,Eric McAlister,WR,TCU,name_pos,Eric McAlister,WR,TCU Horned Frogs,129,,76.67,76.1
127,Malik Muhammad,CB,Texas,exact,Malik Muhammad,CB,Texas,228,,80.17,70.8
128,Brenen Thompson,WR,Mississippi State,exact,Brenen Thompson,WR,Mississippi State Bulldogs,181,,77.13,79.0
129,Jude Bowry,T,Boston College,exact,Jude Bowry,OT,Boston College Eagles,130,,78.74,66.0
130,Ja'Kobi Lane,WR,USC,exact,Ja'Kobi Lane,WR,USC,20,,83.79,77.6
131,Emmett Johnson,HB,Nebraska,name_pos,Emmett Johnson,RB,Nebraska Cornhuskers,87,,79.46,85.6
132,Marlin Klein,TE,Michigan,exact,Marlin Klein,TE,Michigan Wolverines,111,,75.1,64.6
133,Bud Clark,S,TCU,name_pos,Bud Clark,S,TCU Horned Frogs,112,,80.07,80.4
134,Jager Burton,C,Kentucky,exact,Jager Burton,IOL,Kentucky Wildcats,138,,77.47,71.3
135,Dallen Bentley,TE,Utah,exact,Dallen Bentley,TE,Utah Utes,191,,74.96,76.9
136,Trey Zuhn III,T,Texas A&M,name_only,Trey Zuhn III,IOL,Texas A&M,114,,77.47,72.7
137,Tim Keenan III,DI,Alabama,name_only,Tim Keenan III,DT,Alabama Crimson Tide,133,,76.99,70.8
138,Taurean York,LB,Texas A&M,exact,Taurean York,LB,Texas A&M Aggies,86,,79.42,83.7
139,Nicholas Singleton,HB,Penn State,exact,Nicholas Singleton,RB,Penn State,32,,81.9,77.6
140,J.C. Davis,T,Illinois,name_pos,J.C. Davis,OT,Illinois Fighting Illini,114,,77.77,87.8
142,Nadame Tucker,ED,Western Michigan,name_only,Nadame Tucker,EDGE,Western Michigan Broncos,157,,75.26,91.4
143,Austin Barber,T,Florida,exact,Austin Barber,OT,Florida,27,,81.27,83.5
144,Le'Veon Moss,HB,Texas A&M,exact,Le'Veon Moss,RB,Texas A&M,66,,79.4,75.8
146,Max Llewellyn,ED,Iowa,name_only,Max Llewellyn,EDGE,Iowa Hawkeyes,179,,74.4,72.3
149,Caleb Douglas,WR,Texas Tech,name_pos,Caleb Douglas,WR,Texas Tech Red Raiders,194,,72.23,66.9
150,Diego Pounds,T,Mississippi,exact,Diego Pounds,OT,Mississippi Rebels,290,,69.1,62.3
151,Nate Boerkircher,TE,Texas A&M,exact,Nate Boerkircher,TE,Texas A&M Aggies,180,,73.41,74.5
152,Kaytron Allen,HB,Penn State,exact,Kaytron Allen,RB,Penn State Nittany Lions,119,,79.9,89.5
153,Joe Royer,TE,Cincinnati,name_pos,Joe Royer,TE,Cincinnati Bearcats,120,,77.43,59.8
154,Eli Raridon,TE,Notre Dame,exact,Eli Raridon,TE,Notre Dame,294,,78.09,67.6
155,Ephesians Prysock,CB,Washington,exact,Ephesians Prysock,CB,Washington Huskies,207,,74.4,77.8
156,Dametrious Crownover,T,Texas A&M,exact,Dametrious Crownover,OT,Texas A&M Aggies,206,,74.0,65.2
157,Beau Stephens,G,Iowa,name_pos,Beau Stephens,IOL,Iowa Hawkeyes,131,,77.03,85.1
158,Jeremiah Wright,G,Auburn,exact,Jeremiah Wright,IOL,Auburn Tigers,275,,70.38,68.2
159,Albert Regis,DI,Texas A&M,name_only,Albert Regis,DT,Texas A&M Aggies,121,,77.64,72.5
160,Skyler Gill-Howard,DI,Texas Tech,name_only,Skyler Gill-Howard,DT,Texas Tech Red Raiders,110,,78.0,88.6
161,Cade Klubnik,QB,Clemson,exact,Cade Klubnik,QB,Clemson,61,,77.54,76.5
162,Kevin Coleman Jr.,WR,Missouri,exact,Kevin Coleman Jr.,WR,Missouri Tigers,185,,74.4,78.5
164,Logan Jones,C,Iowa,name_pos,Logan Jones,IOL,Iowa Hawkeyes,174,,76.9,79.0
165,Charles Demmings,CB,Stephen F. Austin,exact,Charles Demmings,CB,Stephen F. Austin,38,,79.67,79.6
166,Michael Taaffe,S,Texas,exact,Michael Taaffe,S,Texas Longhorns,122,,78.57,88.1
167,Demond Claiborne,HB,Wake Forest,exact,Demond Claiborne,RB,Wake Forest,67,,80.46,68.7
168,Julian Neal,CB,Arkansas,exact,Julian Neal,CB,Arkansas Razorbacks,126,,78.59,79.5
169,DJ Campbell,G,Texas,exact,DJ Campbell,IOL,Texas Longhorns,127,,77.47,70.9
170,Josh Cuevas,TE,Alabama,exact,Josh Cuevas,TE,Alabama Crimson Tide,116,,76.38,69.6
171,Thaddeus Dixon,CB,North Carolina,exact,Thaddeus Dixon,CB,North Carolina Tar Heels,128,,78.17,65.2
172,Quintayvious Hutchins,ED,Boston College,name_only,Quintayvious Hutchins,EDGE,Boston College Eagles,162,,74.73,68.7
173,Aiden Fisher,LB,Indiana,exact,Aiden Fisher,LB,Indiana Hoosiers,132,,78.88,68.1
174,Eric Rivers,WR,Georgia Tech,name_pos,Eric Rivers,WR,Georgia Tech Yellow Jackets,133,,77.67,72.7
176,Hezekiah Masses,CB,California,name_pos,Hezekiah Masses,CB,California Golden Bears,143,,75.77,79.5
177,Aamil Wagner,T,Notre Dame,exact,Aamil Wagner,OT,Notre Dame,44,,79.77,68.7
