2026 BIG BOARD (FINAL RANK)

 98. Caleb Banks | DT | Florida Gators | Grade 78.48 | final_rank=98 | seed=28
 99. Langston Jones | OT | Lehigh | Grade 78.45 | final_rank=99 | seed=38
100. Makhi Hughes | RB | Oregon | Grade 78.42 | final_rank=100 | seed=65
101. Jake Slaughter | IOL | Florida | Grade 78.37 | final_rank=101 | seed=129
102. Denzel Boston | WR | Washington | Grade 78.36 | final_rank=102 | seed=25
103. A'Mauri Washington | DT | Oregon | Grade 78.36 | final_rank=103 | seed=91
104. Mateen Ibirogba | DT | Wake Forest | Grade 78.36 | final_rank=104 | seed=96
105. Davison Igbinosun | CB | Ohio State | Grade 78.35 | final_rank=105 | seed=51
106. Eric McAlister | WR | TCU Horned Frogs | Grade 78.33 | final_rank=106 | seed=129
107. Eric Singleton Jr. | WR | Auburn | Grade 78.29 | final_rank=107 | seed=70
108. DeMonte Capehart | DT | Clemson Tigers | Grade 78.29 | final_rank=108 | seed=171
109. Gabriel Brownlow-Dindy | DT | South Carolina | Grade 78.28 | final_rank=109 | seed=159
110. Hollin Pierce | OT | Rutgers | Grade 78.24 | final_rank=110 | seed=117
111. Jager Burton | IOL | Kentucky Wildcats | Grade 78.22 | final_rank=111 | seed=138
112. Joshua Josephs | EDGE | Tennessee Volunteers | Grade 78.2 | final_rank=112 | seed=68
113. Avieon Terrell | CB | Clemson | Grade 78.18 | final_rank=113 | seed=6
114. Trey Moore | LB | Texas Longhorns | Grade 78.16 | final_rank=114 | seed=140
115. Max Iheanachor | OT | Arizona State Sun Devils | Grade 78.12 | final_rank=115 | seed=70
116. Tyre West | DT | Indiana | Grade 78.11 | final_rank=116 | seed=164
117. Xavier Chaplin | OT | Auburn | Grade 78.1 | final_rank=117 | seed=122
118. Malachi Lawrence | EDGE | UCF Knights | Grade 78.09 | final_rank=118 | seed=154
119. Tanner Koziol | TE | Houston | Grade 78.09 | final_rank=119 | seed=289
120. Domata Peko Jr. | DT | UCLA | Grade 78.03 | final_rank=120 | seed=176
121. Carnell Tate | WR | Ohio State | Grade 78.01 | final_rank=121 | seed=13
122. Gennings Dunker | OT | Iowa Hawkeyes | Grade 78.0 | final_rank=122 | seed=88
123. Elijah Sarratt | WR | Indiana Hoosiers | Grade 77.93 | final_rank=123 | seed=73
124. Matayo Uiagalelei | EDGE | Oregon | Grade 77.87 | final_rank=124 | seed=59
125. Kade Pieper | IOL | Iowa | Grade 77.83 | final_rank=125 | seed=80
126. A.J. Haulcy | S | LSU Tigers | Grade 77.82 | final_rank=126 | seed=51
127. Ar'maj Reed-Adams | IOL | Texas A&M | Grade 77.81 | final_rank=127 | seed=126
128. Genesis Smith | S | Arizona Wildcats | Grade 77.77 | final_rank=128 | seed=108
129. Chris Bell | WR | Louisville | Grade 77.75 | final_rank=129 | seed=269
130. Jadon Canady | CB | Oregon Ducks | Grade 77.73 | final_rank=130 | seed=184
131. Deontae Lawson | LB | Alabama | Grade 77.68 | final_rank=131 | seed=96
132. Jeff Caldwell | WR | Cincinnati Bearcats | Grade 77.67 | final_rank=132 | seed=178
133. Malik Muhammad | CB | Texas | Grade 77.66 | final_rank=133 | seed=228
134. Tre Williams | DT | Clemson | Grade 77.65 | final_rank=134 | seed=182
135. Cole Brevard | DT | Texas Longhorns | Grade 77.59 | final_rank=135 | seed=166
136. Darrell Jackson Jr. | DT | Florida State | Grade 77.58 | final_rank=136 | seed=7
137. Tacario Davis | CB | Washington | Grade 77.54 | final_rank=137 | seed=56
138. Cade Klubnik | QB | Clemson | Grade 77.54 | final_rank=138 | seed=61
139. Drew Allar | QB | Penn State | Grade 77.53 | final_rank=139 | seed=62
140. CJ Mims | EDGE | West Virginia | Grade 77.5 | final_rank=140 | seed=168
141. David Gusta | DT | Kentucky | Grade 77.46 | final_rank=141 | seed=119
142. KC Concepcion | WR | Texas A&M Aggies | Grade 77.41 | final_rank=142 | seed=36
