model_rank,player_name,position,school,final_grade,round_value,consensus_rank,formula_score,pick_score,best_team_fit
54,Nyck Harbor,WR,South Carolina,81.6,Round 2-3,29,82.15,,CLE
55,Brandon Cisse,CB,South Carolina Gamecocks,82.63,Round 2-3,14,82.97,,JAX
56,Akheem Mesidor,EDGE,Miami (FL) Hurricanes,80.54,Round 3-4,41,81.37,,ATL
57,Takye Heath,CB,Georgia Tech,79.34,Round 4-5,64,79.6,,JAX
58,Ty Simpson,QB,Alabama Crimson Tide,79.17,Round 4-5,65,80.78,,LV
59,Emmanuel McNeil-Warren,S,Toledo Rockets,80.56,Round 2-3,40,80.54,,MIA
60,Aamil Wagner,OT,Notre Dame,78.16,Round 4-5,93,80.35,,LAR
61,Keith Abney II,CB,Arizona State Sun Devils,77.78,Round 4-5,108,78.06,,JAX
62,Evan Stewart,WR,Oregon,78.82,Round 4-5,71,79.44,,CLE
63,Dante Moore,QB,Oregon,71.88,Round 6-7,291,74.41,,LV
64,Keeshawn Silver,DT,USC,74.34,Round 5-6,235,76.72,,HOU
65,Anthony Hill Jr.,LB,Texas Longhorns,83.66,Round 2-3,9,82.96,,LAR
66,Daylen Everette,CB,Georgia,83.35,Round 2-3,10,83.76,,JAX
67,Gabe Jacas,EDGE,Illinois Fighting Illini,81.7,Round 2-3,25,82.7,,ATL
68,Kaimon Rucker,EDGE,North Carolina,79.54,Round 4-5,58,79.89,,ATL
69,Davison Igbinosun,CB,Ohio State,78.26,Round 4-5,89,79.24,,JAX
70,A.J. Haulcy,S,LSU Tigers,77.69,Round 4-5,111,77.46,,MIA
71,Emmanuel Pregnon,IOL,Oregon Ducks,81.52,Round 2-3,30,82.06,,DET
72,Chandler Rivers,CB,Duke,78.4,Round 4-5,83,80.14,,JAX
73,Zion Young,EDGE,Missouri Tigers,81.7,Round 2-3,26,82.17,,ATL
74,Colton Hood,CB,Tennessee Volunteers,80.03,Round 3-4,48,80.38,,JAX
75,Tacario Davis,CB,Washington,75.89,Round 5-6,194,78.32,,JAX
76,Lee Hunter,DT,Texas Tech Red Raiders,75.35,Round 5-6,206,74.95,,HOU
77,Keionte Scott,CB,Miami (FL) Hurricanes,82.4,Round 2-3,17,83.48,,JAX
78,Garrett Nussmeier,QB,LSU,74.81,Round 5-6,219,79.49,,LV
79,Romello Height,EDGE,Texas Tech Red Raiders,78.71,Round 4-5,75,80.3,,ATL
80,Matayo Uiagalelei,EDGE,Oregon,77.82,Round 4-5,107,78.5,,ATL
81,Jaden Rashada,QB,Sacramento State,72.91,Round 5-6,264,75.96,,LV
82,D'Angelo Ponds,CB,Indiana Hoosiers,82.0,Round 2-3,22,83.46,,JAX
83,Conner Weigman,QB,Houston,74.19,Round 5-6,239,77.24,,LV
84,Caleb Tiernan,OT,Northwestern Wildcats,80.11,Round 3-4,45,81.36,,LAR
85,Cade Klubnik,QB,Clemson,76.63,Round 4-5,159,80.47,,LV
86,Drew Allar,QB,Penn State,77.23,Round 4-5,130,80.57,,LV
87,Dontay Corleone,DT,Cincinnati Bearcats,77.02,Round 4-5,145,77.97,,HOU
88,Chris Johnson,CB,San Diego State Aztecs,79.72,Round 4-5,54,80.75,,JAX
89,Jake Golday,LB,Cincinnati Bearcats,80.22,Round 3-4,43,80.08,,LAR
90,Omar Cooper Jr.,WR,Indiana Hoosiers,79.97,Round 4-5,50,80.53,,CLE
91,Jaydn Ott,RB,Oklahoma,74.26,Round 5-6,237,76.57,,DAL
92,Makhi Hughes,RB,Oregon,78.42,Round 4-5,82,78.03,,DAL
93,Jadarian Price,RB,Notre Dame Fighting Irish,77.35,Round 4-5,126,77.97,,DAL
94,Le'Veon Moss,RB,Texas A&M,75.93,Round 5-6,190,78.09,,DAL
95,Josiah Trotter,LB,Missouri Tigers,81.41,Round 2-3,32,81.33,,LAR
96,Demond Claiborne,RB,Wake Forest,74.29,Round 5-6,236,75.96,,DAL
97,Joshua Josephs,EDGE,Tennessee Volunteers,77.44,Round 4-5,120,79.35,,ATL
98,Trevor Goosby,OT,Texas,76.57,Round 4-5,163,76.86,,LAR
99,Kamari Ramsey,S,USC Trojans,73.38,Round 5-6,258,74.27,,MIA
100,Max Iheanachor,OT,Arizona State Sun Devils,78.11,Round 4-5,94,79.14,,LAR
101,Eric Singleton Jr.,WR,Auburn,78.03,Round 4-5,100,78.43,,CLE
102,Connor Lew,IOL,Auburn Tigers,75.61,Round 5-6,201,77.57,,DET
103,Miller Moss,QB,Louisville,69.78,Round 6-7,338,74.25,,LV
104,Domonique Orange,DT,Iowa State Cyclones,78.02,Round 4-5,103,78.18,,HOU
105,Elijah Sarratt,WR,Indiana Hoosiers,78.32,Round 4-5,87,79.18,,CLE
106,Roman Hemby,RB,Indiana,76.16,Round 4-5,181,78.1,,DAL
107,Trinidad Chambliss,QB,Mississippi Rebels,75.1,Round 5-6,213,78.84,,LV
108,Justice Boone,RB,Colorado,78.51,Round 4-5,79,78.12,,DAL
109,Anthony Lucas,EDGE,USC Trojans,77.56,Round 4-5,116,78.21,,ATL
110,Kendal Daniels,LB,Oklahoma,72.32,Round 5-6,280,74.35,,LAR
111,Jack Endries,TE,Texas Longhorns,79.96,Round 4-5,51,80.34,,LAC
112,CJ Daniels,WR,Miami (FL) Hurricanes,79.17,Round 4-5,66,80.6,,CLE
113,Kade Pieper,IOL,Iowa,77.29,Round 4-5,128,77.7,,DET
114,Michael Trigg,TE,Baylor Bears,74.73,Round 5-6,223,76.38,,LAC
115,Chris Brazzell II,WR,Tennessee Volunteers,79.51,Round 4-5,59,80.4,,CLE
116,Quincy Rhodes Jr.,EDGE,Arkansas,75.82,Round 5-6,195,75.73,,ATL
117,Barion Brown,WR,LSU,60.3,UDFA,455,72.55,,CLE
118,Blake Miller,OT,Clemson Tigers,81.28,Round 2-3,34,82.1,,LAR
119,Jonah Coleman,RB,Washington Huskies,78.39,Round 4-5,86,78.84,,DAL
120,Tyreak Sapp,EDGE,Florida,78.09,Round 4-5,97,81.45,,ATL
121,Skyler Bell,WR,Connecticut Huskies,81.67,Round 2-3,27,82.92,,CLE
122,Kenyon Sadiq,TE,Oregon,82.04,Round 2-3,21,82.59,,LAC
123,Taurean York,LB,Texas A&M Aggies,75.41,Round 5-6,204,74.73,,LAR
124,Emmett Johnson,RB,Nebraska Cornhuskers,75.2,Round 5-6,209,75.3,,DAL
125,Zane Durant,DT,Penn State,78.77,Round 4-5,72,80.09,,HOU
126,Gennings Dunker,OT,Iowa Hawkeyes,77.54,Round 4-5,117,78.98,,LAR
127,Justin Flowe,LB,Arizona,79.35,Round 4-5,63,78.93,,LAR
128,A'Mauri Washington,DT,Oregon,77.71,Round 4-5,110,76.99,,HOU
129,Justin Joly,TE,North Carolina State Wolfpack,77.09,Round 4-5,139,78.3,,LAC
130,Deion Burks,WR,Oklahoma Sooners,80.09,Round 3-4,46,81.65,,CLE
131,Devin Moore,CB,Florida,71.86,Round 6-7,292,73.63,,JAX
132,Patrick Payton,EDGE,LSU,66.87,UDFA,387,77.7,,ATL
133,Dani Dennis-Sutton,EDGE,Penn State Nittany Lions,82.12,Round 2-3,19,83.09,,ATL
134,Eugene Asante,LB,Auburn,80.76,Round 2-3,37,80.34,,LAR
135,Jacob Rodriguez,LB,Texas Tech Red Raiders,77.38,Round 4-5,121,78.38,,LAR
