snapshot_date,source,source_url,pick,source_rank_pct,team,player_name,position,school
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,21,0.354839,Pittsburgh Steelers,Omar Cooper Jr.,WR,Indiana
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,22,0.322581,Los Angeles Chargers,Jermod McCoy,CB,Tennessee
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,23,0.290323,Philadelphia Eagles,Max Iheanachor,OT,Arizona State
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,24,0.258065,Cleveland Browns (from JAX),Jordyn Tyson,WR,Arizona State
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,25,0.225806,Chicago Bears,Peter Woods,DT,Clemson
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,26,0.193548,Buffalo Bills,Denzel Boston,WR,Washington
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,27,0.16129,San Francisco 49ers,Caleb Lomu,OT,Utah
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,28,0.129032,Arizona Cardinals (from HOU)*,Ty Simpson,QB,Alabama
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,29,0.096774,Los Angeles Rams,KC Concepcion,WR,Texas A&M
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,30,0.064516,Denver Broncos,Emmanuel McNeil-Warren,S,Toledo
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,31,0.032258,New England Patriots,T.J. Parker,EDGE,Clemson
2026-03-04,the_athletic,https://www.nytimes.com/athletic/7081108/2026/03/04/nfl-mock-draft-2026-combine-mendoza/,32,0.0,Seattle Seahawks,Brandon Cisse,CB,South Carolina
